"x"
"1","Universidad de Buenos Aires (UBA)"
"2","Universidad Nacional Autonoma de Mexico (UNAM)"
"3","Universidade de Sao Paulo"
"4","Pontificia Universidad Catolica de Chile (UC)"
"5","Tecnologico de Monterrey"
"6","Universidad de Chile"
"7","Universidade Estadual de Campinas (Unicamp)"
"8","Universidad de los Andes"
"9","Universidad Nacional de Colombia"
"10","Pontificia Universidad Catolica Argentina"
"11","Universidade Federal do Rio de Janeiro"
"12","Universidad de Palermo (UP)"
"13","Pontificia Universidad Catolica del Peru"
"14","Universidad Austral"
"15","Pontificia Universidad Javeriana"
"16","Universidade Federal de Sao Paulo"
"17","Universidad de Belgrano"
"18","Universidad de Montevideo (UM)"
"19","Universidad ORT Uruguay"
"20","Universidad de Santiago de Chile (USACH)"
"21","UNESP"
"22","Universidad de La Habana"
"23","Universidad Central \"Marta Abreu\" de Las Villas"
"24","Universidad de Costa Rica"
"25","Universidad Panamericana (UP)"
"26","Universidad Nacional de La Plata (UNLP)"
"27","Universidad Externado de Colombia"
"28","Universidad Anahuac Mexico"
"29","Universidad Nacional del Centro de la Provincia de Buenos Aires (UNICEN)"
"30","Universidad de Concepcion"
"31","Pontificia Universidade Catolica do Rio de Janeiro"
"32","Universidad ICESI"
"33","Universidad Peruana Cayetano Heredia (UPCH)"
"34","Universidad Pontificia Bolivariana"
"35","Universidad de Antioquia"
"36","Universidade Federal de Minas Gerais"
"37","Instituto Tecnologico de Buenos Aires (ITBA)"
"38","Universidad Central de Venezuela"
"39","Universidad Iberoamericana IBERO"
"40","Universidad de La Sabana"
"41","Universidad de San Andres - UdeSA"
"42","Instituto Politecnico Nacional (IPN)"
"43","Instituto Tecnologico Autonomo de Mexico (ITAM)"
"44","Pontificia Universidad Catolica de Valparaiso"
"45","Universidad Adolfo Ibanez"
"46","Universidad San Francisco de Quito (USFQ)"
"47","Universidad Torcuato Di Tella"
"48","Universidad de la Republica (Udelar)"
"49","Universidad del Rosario"
"50","Universidade Federal do Rio Grande Do Sul"
"51","Pontificia Universidade Catolica de Sao Paulo"
"52","Tecnologico de Costa Rica -TEC"
"53","Universidad Autonoma Metropolitana (UAM)"
"54","Universidad Autonoma Chapingo"
"55","Universidad Autonoma del Estado de Hidalgo (UAEH)"
"56","Universidad Autonoma del Estado de Mexico (UAEMex)"
"57","Universidad Catolica Andres Bello"
"58","Universidad Catolica del Uruguay (UCU)"
"59","Universidad Diego Portales (UDP)"
"60","Universidad EAFIT"
"61","Universidad Nacional Mayor de San Marcos"
"62","Universidad Nacional de Cordoba - UNC"
"63","Universidad Nacional de Rosario (UNR)"
"64","Universidad Nacional de San Luis"
"65","Universidad Simon Bolivar (USB)"
"66","Universidad Tecnologica Nacional (UTN)"
"67","Universidad Tecnologica de Panama (UTP)"
"68","Universidad Tecnica Federico Santa Maria (USM)"
"69","Universidad de Guadalajara (UDG)"
"70","Universidad de Los Andes - (ULA) Merida"
"71","Universidad de las Americas Puebla (UDLAP)"
"72","Universidad de los Andes - Chile"
"73","Universidad del Valle"
"74","Universidade Federal de Pernambuco (UFPE)"
"75","Universidade Federal de Santa Catarina"
"76","Universidade Federal de Sao Carlos (UFSCar)"
"77","Universidade Federal do Parana - UFPR"
"78","Universidade de Brasilia"
"79","Benemerita Universidad Autonoma de Puebla"
"80","Catolica de Cordoba"
"81","Escuela Politecnica Nacional"
"82","Escuela Superior Politecnica del Litoral (ESPOL)"
