"","University","qs_students","qs_z","qs_ranking","qs_rank","the_students","the_z","the_ranking","the_rank","z_distance","ranking_distance","diff","pdiff","outlier"
"18","Alexandru Ioan Cuza University",23479,0.0116001972873776,802,"1201+",24047,0.197640943328542,1522.5,"1201+",-0.186040746041165,-720.5,-568,-0.0239,"not outlier"
"19","Aligarh Muslim University",18484,-0.222481249902118,637,"1001-1200",22215,0.116428022667335,1447,"801¡V1000",-0.338909272569453,-810,-3731,-0.18335,"not outlier"
"20","Altai State University",8562,-0.687457449904956,203,"561-570",8502,-0.491471966976296,616,"Reporter",-0.19598548292866,-413,60,0.00703,"not outlier"
"21","American University",11660,-0.542275403179619,356,"651-700",12683,-0.306127413873399,930,"501¡V600",-0.23614798930622,-574,-1023,-0.08405,"not outlier"
"22","American University of Sharjah",4276,-0.888312921907794,53,"=383",4476,-0.669945339564734,292,"801¡V1000",-0.21836758234306,-239,-200,-0.0457,"not outlier"
"23","Amirkabir University of Technology",11550,-0.547430349964573,353,"=465",11550,-0.356353526924244,866,"501¡V600",-0.191076823040329,-513,0,0,"not outlier"
"24","Amity University",30030,0.318600709907675,970,"1001-1200",31059,0.50848428376325,1760,"1201+",-0.189883573855575,-790,-1029,-0.03369,"not outlier"
"25","Amrita Vishwa Vidyapeetham",19224,-0.187802516985156,671,"1001-1200",14994,-0.203680328912673,1086,"801¡V1000",0.0158778119275177,-415,4230,0.24724,"outlier & student qs > the"
"26","An-Najah National University",18396,-0.226605207330081,635,"1001-1200",23053,0.153576727642276,1482,"401¡V500",-0.380181934972357,-847,-4657,-0.22471,"outlier & student qs < the"
"27","Anadolu University",33226,0.46837534558688,1030,"1001-1200",29612,0.444338488896019,1708,"1201+",0.0240368566908609,-678,3614,0.11503,"not outlier"
"28","Anna University",15503,-0.362180307774367,505,"801-1000",14966,-0.204921574424963,1084,"801¡V1000",-0.157258733349405,-579,537,0.03525,"not outlier"
"29","Aoyama Gakuin University",19330,-0.182835022810564,675,"1201+",19275,-0.0139027561230296,1331,"1201+",-0.168932266687534,-656,55,0.00285,"not outlier"
"30","Aristotle University of Thessaloniki",47133,1.12010120866282,1183,"551-560",49057,1.30633916698399,2008,"601¡V800",-0.186237958321175,-825,-1924,-0.04,"not outlier"
"31","Assiut University",71419,2.25821973247545,1246,"1001-1200",92965,3.25278945104091,2090,"1001¡V1200",-0.994569718565465,-844,-21546,-0.26214,"outlier & student qs < the"
"32","Aston University",11334,-0.557552790924119,344,"=485",11517,-0.35781642342087,861,"401¡V500",-0.199736367503248,-517,-183,-0.01602,"not outlier"
"33","Ateneo de Manila University",10716,-0.586514219225041,311,"601-650",12742,-0.303511932258218,935,"Reporter",-0.283002286966823,-624,-2026,-0.17273,"not outlier"
"34","Athens University of Economics and Business",10371,-0.60268200686876,295.5,"1001-1200",9180,-0.46141609350015,683,"801¡V1000",-0.14126591336861,-387.5,1191,0.12184,"not outlier"
"35","Auburn University",27321,0.191648429540039,906.5,"801-1000",27469,0.349338877009028,1639,"601¡V800",-0.15769044746899,-732.5,-148,-0.0054,"not outlier"
"36","Australian Catholic University",23750,0.0243001116394003,814,"801-1000",23750,0.184474874858903,1515,"251¡V300",-0.160174763219503,-701,0,0,"not outlier"
"37","Azerbaijan State University of Economics",17275,-0.27913880138402,595,"1001-1200",16737,-0.126412795772671,1182,"Reporter",-0.152726005611349,-587,538,0.03164,"not outlier"
"38","Bahauddin Zakariya University",28162,0.23106034086864,923,"1201+",30872,0.500194536949032,1754,"1201+",-0.269134196080392,-831,-2710,-0.09181,"not outlier"
"39","Baku State University",23103,-0.00602034808664646,785.5,"1001-1200",22039,0.10862590801866,1442,"1201+",-0.114646256105307,-656.5,1064,0.04714,"not outlier"
"40","Banaras Hindu University",24246,0.0475442353242832,823,"1001-1200",13900,-0.252177564285687,1019,"601¡V800",0.29972179960997,-196,10346,0.54244,"outlier & student qs > the"
"41","Bandung Institute of Technology (ITB)",19120,-0.192676284854567,666,"=303",18239,-0.0598288400777297,1277,"1001¡V1200",-0.132847444776837,-611,881,0.04716,"not outlier"
"42","Bangladesh University of Engineering and Technology",6268,-0.794961521947539,107,"801-1000",5941,-0.605001601153889,402,"1201+",-0.18995992079365,-295,327,0.05357,"not outlier"
"43","Bangor University",8802,-0.676210293283238,217,"601-650",8802,-0.478172907916054,640,"401¡V500",-0.198037385367184,-423,0,0,"not outlier"
"44","Bar-Ilan University",16809,-0.300977030491188,572,"=477",16498,-0.137007712823997,1166,"601¡V800",-0.163969317667191,-594,311,0.01867,"not outlier"
"45","Bauman Moscow State Technical University",18011,-0.24464752107742,622,"=281",18011,-0.0699361249635131,1261,"801¡V1000",-0.174711396113906,-639,0,0,"not outlier"
"46","Baylor University",17101,-0.287292989934765,585,"1001-1200",18242,-0.0596958494871273,1278,"801¡V1000",-0.227597140447638,-693,-1141,-0.06457,"not outlier"
"47","Beijing Institute of Technology",31656,0.394800196019811,999,"=373",33771,0.628707777667831,1814,"601¡V800",-0.23390758164802,-815,-2115,-0.06465,"not outlier"
"48","Beijing Jiaotong University",27932,0.220281815772828,920,"801-1000",30608,0.48849136497602,1744,"1001¡V1200",-0.268209549203192,-824,-2676,-0.09142,"not outlier"
"49","Beijing Normal University",23688,0.02139459617879,810,"=270",23424,0.170023230680108,1505,"251¡V300",-0.148628634501318,-695,264,0.01121,"not outlier"
"50","Beijing University of Technology",23126,-0.0049424955770652,788,"701-750",22746,0.139967357203963,1470,"1001¡V1200",-0.144909852781028,-682,380,0.01657,"not outlier"
"51","Beirut Arab University",6824,-0.768905609107227,129,"801-1000",6824,-0.565858037319912,479,"Reporter",-0.203047571787315,-350,0,0,"not outlier"
"52","Belarusian State University",22639,-0.0277648508886336,771,"=295",24684,0.225879278733121,1543,"1201+",-0.253644129621755,-772,-2045,-0.08643,"not outlier"
"53","Belarusian State University of Informatics and Radioelectronics",13966,-0.43420897330595,456,"1001-1200",14737,-0.215073189507613,1069,"Reporter",-0.219135783798337,-613,-771,-0.05372,"not outlier"
"54","Benemerita Universidad Autonoma de Puebla",77933,2.5634863084499,1250,"1001-1200",79502,2.65597201061415,2081,"1201+",-0.0924857021642524,-831,-1569,-0.01993,"not outlier"
"55","Bielefeld University",24888,0.0776303792873775,845,"801-1000",25182,0.247955716773122,1553,"166",-0.170325337485745,-708,-294,-0.01174,"not outlier"
"56","Bilkent University",9676,-0.63525189791915,255,"591-600",9961,-0.426794209746655,750,"601¡V800",-0.208457688172495,-495,-285,-0.02903,"not outlier"
"57","Birkbeck, University of London",8051,-0.711404520878696,175,"=332",8406,-0.495727665875573,604,"351¡V400",-0.215676855003123,-429,-355,-0.04314,"not outlier"
"58","Birla Institute of Technology and Science, Pilani",14216,-0.422493185158328,466,"1001-1200",14849,-0.210108207458457,1076,"801¡V1000",-0.212384977699871,-610,-633,-0.04356,"not outlier"
"59","Birmingham City University",23376,0.0067732925705572,799,"1001-1200",21703,0.0937309618711901,1428,"501¡V600",-0.086957669300633,-629,1673,0.07423,"not outlier"
"60","Bond University",3099,-0.943470852506801,29,"=451",3386,-0.718265254150278,221,"501¡V600",-0.225205598356523,-192,-287,-0.08851,"not outlier"
"61","Boston College",13187,-0.470715369173941,425,"=494",12958,-0.293936609734844,950,"251¡V300",-0.176778759439097,-525,229,0.01752,"not outlier"
"62","Boston University",26440,0.150361992107817,886,"=112",27785,0.363347219219149,1651,"62",-0.212985227111332,-765,-1345,-0.04961,"not outlier"
"63","Bournemouth University",15167,-0.377926327044772,490,"751-800",13788,-0.257142546334843,1010,"351¡V400",-0.120783780709929,-520,1379,0.09525,"not outlier"
"64","Brandeis University",5476,-0.832077138799207,80,"=455",5425,-0.627875982737504,368,"251¡V300",-0.204201156061703,-288,51,0.00936,"not outlier"
"65","Brno University of Technology",18327,-0.229838764858825,634,"701-750",17671,-0.0850083918984533,1239,"1201+",-0.144830372960372,-605,656,0.03645,"not outlier"
"66","Brown University",9652,-0.636376613581322,253,"60",9851,-0.431670531402077,737.5,"64",-0.204706082179245,-484.5,-199,-0.02041,"not outlier"
"67","Brunel University London",13490,-0.456515833939023,438,"=351",12517,-0.313486226553399,920,"351¡V400",-0.143029607385624,-482,973,0.07483,"not outlier"
"68","Budapest University of Technology and Economics",18108,-0.240101795276142,626.5,"801-1000",19351,-0.0105336611611018,1337,"1201+",-0.22956813411504,-710.5,-1243,-0.06637,"not outlier"
"69","Cairo University",192930,7.95260826689843,1270,"571-580",231150,9.37855770517241,2109,"601¡V800",-1.42594943827397,-839,-38220,-0.18025,"outlier & student qs < the"
"70","Canterbury Christ Church University",11166,-0.565425800559321,334,"1001-1200",10920,-0.384281550950751,825,"1001¡V1200",-0.18114424960857,-491,246,0.02228,"not outlier"
"71","Cardiff University",28269,0.236074698195823,927,"=151",26622,0.31179120026228,1607,"189",-0.0757165020664576,-680,1647,0.06001,"not outlier"
"72","Carleton University",26192,0.138739930265376,878,"601-650",28693,0.403599037974813,1682,"601¡V800",-0.264859107709437,-804,-2501,-0.09114,"not outlier"
"73","Carnegie Mellon University",13577,-0.45243873966365,440,"=53",14163,-0.240518722509542,1033,"28",-0.211920017154109,-593,-586,-0.04225,"not outlier"
"74","Case Western Reserve University",11016,-0.572455273447894,322,"=161",10898,-0.385256815281835,823,"126",-0.187198458166059,-501,118,0.01077,"not outlier"
"75","Central South University",54940,1.48596184093677,1212,"521-530",54903,1.56549349787123,2038,"301¡V350",-0.0795316569344588,-826,37,0.00067,"not outlier"
"76","Chalmers University of Technology",9512,-0.642937454943991,246,"=121",9573,-0.443994326131234,715,"251¡V300",-0.198943128812757,-469,-61,-0.00639,"not outlier"
"77","Chang Gung University",6878,-0.76637499886734,130,"=480",7232,-0.547771316997984,514.5,"801¡V1000",-0.218603681869357,-384.5,-354,-0.05018,"not outlier"
"78","Charles Darwin University",7857,-0.720495972481251,162,"701-750",6665,-0.57290653862184,459,"501¡V600",-0.147589433859411,-297,1192,0.16416,"not outlier"
"79","Charles Sturt University",11215,-0.563129506082387,335,"801-1000",23264,0.162930399181313,1496,"801¡V1000",-0.726059905263699,-1161,-12049,-0.69892,"outlier & student qs < the"
"80","Chiang Mai University",33836,0.496961868667078,1045,"601-650",33357,0.610355076164698,1804.5,"1001¡V1200",-0.11339320749762,-759.5,479,0.01426,"not outlier"
"81","Chiba University",13640,-0.44948636105045,442,"=477",13868,-0.253596130585446,1017,"1001¡V1200",-0.195890230465004,-575,-228,-0.01658,"not outlier"
"82","China Agricultural University",20514,-0.127349050143424,712,"601-650",21855,0.100469151795046,1434,"601¡V800",-0.22781820193847,-722,-1341,-0.0633,"not outlier"
"83","Chongqing University",40423,0.805649454780634,1129,"651-700",40613,0.932014984635068,1928,"601¡V800",-0.126365529854435,-799,-190,-0.00469,"not outlier"
"84","Chonnam National University",20946,-0.107104168224333,724,"751-800",22250,0.117979579557697,1448,"1001¡V1200",-0.225083747782029,-724,-1304,-0.06038,"not outlier"
"85","Chulalongkorn University",34509,0.528500770360478,1059,"215",34719,0.670732804298194,1831,"801¡V1000",-0.142232033937716,-772,-210,-0.00607,"not outlier"
"86","Chung Yuan Christian University",15622,-0.356603592616099,512,"1001-1200",15314,-0.189494665915083,1101,"1001¡V1200",-0.167108926701017,-589,308,0.01991,"not outlier"
"87","Chungbuk National University",15191,-0.3768016113826,491,"1001-1200",17669,-0.0850970522921882,1238,"1201+",-0.291704559090412,-747,-2478,-0.15082,"not outlier"
"88","Chungnam National University",19789,-0.161324835771529,689,"751-800",21471,0.0834463561979369,1416,"1001¡V1200",-0.244771191969466,-727,-1682,-0.08153,"not outlier"
"89","City University of Hong Kong",9564,-0.640500571009285,249,"=53",9506,-0.446964449321355,708,"=151",-0.193536121687931,-459,58,0.00608,"not outlier"
"90","City, University of London",15158,-0.378348095418086,488,"=330",14989,-0.203901979897011,1085,"351¡V400",-0.174446115521076,-597,169,0.01121,"not outlier"
"91","Clark University",3219,-0.937847274195942,31,"601-650",3020,-0.734490106203772,181,"501¡V600",-0.20335716799217,-150,199,0.06379,"not outlier"
"92","Clarkson University",4214,-0.891218437368405,50,"751-800",4466,-0.670388641533409,289,"801¡V1000",-0.220829795834996,-239,-252,-0.05806,"not outlier"
"93","Clemson University",23614,0.0179267228870937,806,"801-1000",22785,0.141696234881794,1473,"801¡V1000",-0.1237695119947,-667,829,0.03573,"not outlier"
"94","Colorado School of Mines",6248,-0.795898784999349,105,"=461",6226,-0.59236749504666,425,"401¡V500",-0.203531289952689,-320,22,0.00353,"not outlier"
"95","Columbia University",27321,0.191648429540039,906.5,"19",21608,0.0895195931687804,1424,"11",0.102128836371258,-517.5,5713,0.23352,"outlier & student qs > the"
"96","Comenius University in Bratislava",20919,-0.108369473344276,723,"651-700",21008,0.0629214750482977,1396,"1001¡V1200",-0.171290948392574,-673,-89,-0.00425,"not outlier"
"97","Complutense University of Madrid",60471,1.74516193791477,1228,"223",66338,2.07240929905076,2065,"501¡V600",-0.327247361135993,-837,-5867,-0.09253,"not outlier"
"98","COMSATS University Islamabad",34994,0.551229399366865,1065,"1001-1200",35851,0.720914587152171,1861,"801¡V1000",-0.169685187785306,-796,-857,-0.02419,"not outlier"
"99","Concordia University",34773,0.540872642644367,1062,"521-530",35698,0.714132067031448,1853,"601¡V800",-0.173259424387081,-791,-925,-0.02625,"not outlier"
"100","Cornell University",23890,0.0308609530020689,815,"21",23600,0.177825345328783,1509,"22",-0.146964392326714,-694,290,0.01221,"not outlier"
"101","Corvinus University of Budapest",12548,-0.500660923679264,391,"801-1000",12722,-0.304398536195568,934,"1201+",-0.196262387483697,-543,-174,-0.01377,"not outlier"
"102","Coventry University",33394,0.476248355222082,1034,"601-650",30827,0.498199678089996,1751,"601¡V800",-0.0219513228679142,-717,2567,0.07994,"not outlier"
"103","Cukurova University",40152,0.792949540428611,1125,"1201+",42177,1.00134741253579,1944,"1201+",-0.208397872107182,-819,-2025,-0.04919,"not outlier"
"104","Curtin University",24264,0.048387772070912,824,"=194",30221,0.471335578788309,1728,"251¡V300",-0.422947806717397,-904,-5957,-0.21867,"outlier & student qs < the"
"105","CY Cergy Paris University",8465,-0.692003175706233,198,"801-1000",14768,-0.213698953404722,1070,"601¡V800",-0.478304222301512,-872,-6303,-0.54259,"outlier & student qs < the"
"106","Czech Technical University in Prague",15276,-0.372818243412409,495,"=403",17410,-0.0965785732808632,1222,"1001¡V1200",-0.276239670131545,-727,-2134,-0.13058,"not outlier"
"107","Dalhousie University",15837,-0.346528014809144,527,"=272",16077,-0.155670725705202,1146,"251¡V300",-0.190857289103942,-619,-240,-0.01504,"not outlier"
"108","Dalian University of Technology",42093,0.883910919606751,1141,"571-580",40469,0.925631436286153,1927,"601¡V800",-0.0417205166794014,-786,1624,0.03934,"not outlier"
"109","Dartmouth College",6444,-0.786713607091613,118,"=191",6378,-0.585629305122804,439,"=99",-0.201084301968809,-321,66,0.01029,"not outlier"
"110","De La Salle University",12070,-0.523061510617518,371,"801-1000",12386,-0.319293482343038,915,"1201+",-0.20376802827448,-544,-316,-0.02584,"not outlier"
"111","De Montfort University",25293,0.0966099560865258,856,"801-1000",21889,0.10197637848854,1435,"601¡V800",-0.00536642240201399,-579,3404,0.14429,"not outlier"
"112","Deakin University",42444,0.900359886166013,1145,"283",42675,1.02342385057579,1952,"251¡V300",-0.123063964409781,-807,-231,-0.00543,"not outlier"
"113","Delft University of Technology",20273,-0.138643069917732,705,"57",20133,0.0241325527892606,1366,"=75",-0.162775622706993,-661,140,0.00693,"not outlier"
"114","Diponegoro University",38567,0.718671443572685,1116,"1001-1200",38567,0.841315401844222,1903,"1201+",-0.122643958271538,-787,0,0,"not outlier"
"115","Don State Technical University",26251,0.141504856268215,880,"1201+",26376,0.300885971832883,1595,"501¡V600",-0.159381115564668,-715,-125,-0.00475,"not outlier"
"116","Doshisha University",28946,0.267801052499584,949,"1001-1200",28074,0.376158646113848,1660.5,"1201+",-0.108357593614264,-711.5,872,0.03059,"not outlier"
"117","Drexel University",20164,-0.143751153550095,702,"651-700",19984,0.0175273534560074,1362,"351¡V400",-0.161278507006103,-660,180,0.00897,"not outlier"
"118","Dublin City University",14030,-0.431209731540159,460,"=490",13315,-0.278110729453157,978,"501¡V600",-0.153099002087001,-518,715,0.05229,"not outlier"
"119","Duke University",15969,-0.340342078667199,532,"52",15785,-0.168615143190504,1127,"23",-0.171726935476696,-595,184,0.01159,"not outlier"
"120","Durham University",18717,-0.211562135348534,653,"=82",17724,-0.0826588914644773,1242,"=162",-0.128903243884057,-589,993,0.0545,"not outlier"
"121","East China Normal University",27826,0.215314321598236,917,"531-540",27424,0.347344018149992,1638,"301¡V350",-0.132029696551756,-721,402,0.01455,"not outlier"
"122","East China University of Science and Technology",28007,0.223796552217115,921,"571-580",27720,0.360465756422764,1646,"801¡V1000",-0.136669204205649,-725,287,0.0103,"not outlier"
"123","Ecole des Ponts ParisTech",1957,-0.99698857276514,8,"245",2096,-0.775451208109315,120,"251¡V300",-0.221537364655824,-112,-139,-0.06859,"not outlier"
"124","Ecole Normale Superieure de Lyon",2066,-0.991880489132776,10,"130",2272,-0.76764909346064,136,"301¡V350",-0.224231395672136,-126,-206,-0.09497,"not outlier"
"125","Edinburgh Napier University",12571,-0.499583071169683,393,"801-1000",10812,-0.389069212212437,818,"501¡V600",-0.110513858957246,-425,1759,0.15045,"not outlier"
"126","Edith Cowan University",15524,-0.361196181569967,506,"651-700",18086,-0.0666113601984528,1268,"401¡V500",-0.294584821371514,-762,-2562,-0.15245,"not outlier"
"127","Eindhoven University of Technology",10190,-0.611164237487639,285.5,"125",11326,-0.366283491022557,849,"201¡V250",-0.244880746465082,-563.5,-1136,-0.1056,"not outlier"
"128","Emory University",13409,-0.460311749298853,433,"160",13179,-0.284139636227133,972,"82",-0.176172113071719,-539,230,0.0173,"not outlier"
"129","Eotvos Lorand University",28450,0.244556928814701,931,"651-700",29639,0.445535404211441,1710,"601¡V800",-0.200978475396739,-779,-1189,-0.04094,"not outlier"
"130","Erasmus University Rotterdam",28694,0.255991538046781,943,"179",28933,0.414238285223006,1688,"72",-0.158246747176225,-745,-239,-0.00829,"not outlier"
"131","Escuela Politecnica Nacional",7274,-0.747817190441507,143,"1001-1200",7207,-0.548879571919671,512.5,"1201+",-0.198937618521836,-369.5,67,0.00925,"not outlier"
"132","Ewha Womans University",17273,-0.279232527689201,594,"=362",14876,-0.208911292143035,1078,"601¡V800",-0.0703212355461659,-484,2397,0.14912,"not outlier"
"133","Far Eastern Federal University",13247,-0.467903580018512,427,"=461",15850,-0.165733680394118,1130,"1201+",-0.302169899624394,-703,-2603,-0.17892,"not outlier"
"134","Feng Chia University",18509,-0.221309671087356,639,"1001-1200",19510,-0.00348515985917393,1340,"1201+",-0.217824511228182,-701,-1001,-0.05266,"not outlier"
"135","Financial University under the Government of the Russian Federation",20137,-0.145016458670039,701,"801-1000",14402,-0.229923805458216,1049,"Reporter",0.0849073467881776,-348,5735,0.33209,"outlier & student qs > the"
"136","Flinders University",17138,-0.285559053288917,588,"=407",16976,-0.115817878721346,1198,"251¡V300",-0.169741174567571,-610,162,0.0095,"not outlier"
"137","Florida International University",35143,0.558212009102848,1069,"801-1000",34729,0.671176106266869,1833,"501¡V600",-0.11296409716402,-764,414,0.01185,"not outlier"
"138","Florida State University",37825,0.683898984350542,1105,"475",39380,0.877355851897476,1910,"251¡V300",-0.193456867546935,-805,-1555,-0.04028,"not outlier"
"139","Free University of Bozen-Bolzano",4194,-0.892155700420214,49,"651-700",4195,-0.682402124884494,269,"401¡V500",-0.209753575535721,-220,-1,-0.00024,"not outlier"
"140","Fu Jen Catholic University",18589,-0.217560618880117,646,"1001-1200",18375,-0.0537999333037536,1286,"1001¡V1200",-0.163760685576363,-640,214,0.01158,"not outlier"
"141","Fudan University",28454,0.244744381425063,932,"31",33140,0.600735423444457,1802,"60",-0.355991042019394,-870,-4686,-0.15216,"not outlier"
"142","Gda<U+0144>sk University of Technology",12130,-0.520249721462089,373,"801-1000",13778,-0.257585848303518,1008,"1001¡V1200",-0.262663873158571,-635,-1648,-0.12722,"not outlier"
"143","George Mason University",29633,0.299996038329251,961,"801-1000",31652,0.53477209050566,1781,"251¡V300",-0.234776052176409,-820,-2019,-0.06589,"not outlier"
"144","George Washington University",21363,-0.0875622335940984,736.5,"355",23375,0.167851051033602,1504,"201¡V250",-0.2554132846277,-767.5,-2012,-0.08995,"not outlier"
"145","Georgetown University",16318,-0.323986838413118,548,"=248",16703,-0.127920022466165,1179,"130",-0.196066815946953,-631,-385,-0.02332,"not outlier"
"146","Georgia Institute of Technology",24422,0.0557921501802093,833,"88",27838,0.365696719653125,1654,"45",-0.309904569472916,-821,-3416,-0.13073,"not outlier"
"147","Georgia State University",30127,0.323146435708953,973,"751-800",32290,0.563054756107107,1789,"401¡V500",-0.239908320398154,-816,-2163,-0.06931,"not outlier"
"148","German University in Cairo",12947,-0.481962525795659,412,"1201+",13081,-0.288483995520146,965,"1201+",-0.193478530275513,-553,-134,-0.0103,"not outlier"
"149","Ghent University",37833,0.684273889571265,1106,"141",38984,0.859801093937958,1908,"=96",-0.175527204366692,-802,-1151,-0.02997,"not outlier"
"150","Gifu University",7280,-0.747536011525963,145,"601-650",7189,-0.549677515463285,510,"1201+",-0.197858496062678,-365,91,0.01258,"not outlier"
"151","Glasgow Caledonian University",15009,-0.385330705154069,483,"1001-1200",13509,-0.269510671260868,992,"601¡V800",-0.115820033893201,-509,1500,0.1052,"not outlier"
"152","Goldsmiths, University of London",9144,-0.660183095097291,232,"=461",9325,-0.454988214954367,697.5,"401¡V500",-0.205194880142924,-465.5,-181,-0.0196,"not outlier"
"153","Graz University of Technology",6822,-0.768999335412408,128,"=277",6386,-0.585274663547864,440,"601¡V800",-0.183724671864543,-312,436,0.06602,"not outlier"
"154","Griffith University",33072,0.461158420087944,1027,"=290",35020,0.684076193555303,1840,"201¡V250",-0.222917773467358,-813,-1948,-0.05722,"not outlier"
"155","Gunma University",6429,-0.78741655438047,117,"701-750",6288,-0.589619022840877,428,"1201+",-0.197797531539594,-311,141,0.02218,"not outlier"
"156","Hacettepe University",47541,1.13922137491974,1187,"801-1000",49026,1.3049649308811,2005,"601¡V800",-0.165743555961364,-818,-1485,-0.03076,"not outlier"
"157","Hallym University",7880,-0.71941811997167,165,"561-570",8663,-0.484334805280633,630,"1201+",-0.235083314691037,-465,-783,-0.09466,"not outlier"
"158","Hanoi University of Science and Technology",33666,0.488995132726695,1040,"1201+",32222,0.560040302720119,1787,"1201+",-0.0710451699934233,-747,1444,0.04383,"not outlier"
"159","Hanyang University",22662,-0.0266869983790524,773,"156",20009,0.0186356083776941,1363,"351¡V400",-0.0453226067567465,-590,2653,0.12435,"not outlier"
"160","Harbin Institute of Technology",30139,0.323708793540038,975,"=236",30575,0.487028468479394,1742,"501¡V600",-0.163319674939355,-767,-436,-0.01436,"not outlier"
"161","Harper Adams University",2909,-0.952374851498994,23,"1001-1200",2219,-0.769998593894616,126,"Reporter",-0.182376257604377,-103,690,0.26911,"outlier & student qs > the"
"162","Harvard University",23663,0.0202230173640277,809,"5",21574,0.0880123664752864,1422,"=2",-0.0677893491112587,-613,2089,0.09236,"not outlier"
"163","Hasselt University",5529,-0.829593391711911,83,"=471",5528,-0.623309972460155,378,"351¡V400",-0.206283419251756,-295,1,0.00018,"not outlier"
"164","Helwan University",122967,4.67392152221001,1258,"1201+",122967,4.58278401745878,2098,"1201+",0.0911375047512255,-840,0,0,"not outlier"
"165","Heriot-Watt University",9883,-0.625551225332919,271,"=270",9493,-0.447540741880632,705,"501¡V600",-0.178010483452287,-434,390,0.04026,"not outlier"
"166","Hiroshima University",15220,-0.375442579957476,493,"343",15048,-0.20128649828183,1090,"801¡V1000",-0.174156081675646,-597,172,0.01137,"not outlier"
"167","Hitotsubashi University",6303,-0.793321311606872,109,"531-540",6215,-0.592855127212202,422,"Reporter",-0.20046618439467,-313,88,0.01406,"not outlier"
"168","Hokkaido University",17887,-0.25045855199864,616,"145",18085,-0.0666556903953202,1267,"501¡V600",-0.18380286160332,-651,-198,-0.01101,"not outlier"
"169","Hong Kong Baptist University",8440,-0.693174754520996,195,"287",7075,-0.554731157906177,499,"401¡V500",-0.138443596614819,-304,1365,0.17596,"not outlier"
"170","Howard University",8949,-0.669321409852436,223,"651-700",8453,-0.493644146622802,608.5,"251¡V300",-0.175677263229635,-385.5,496,0.057,"not outlier"
"171","HSE University",42852,0.919480052422933,1147,"=305",28901,0.412819718923247,1687,"301¡V350",0.506660333499686,-540,13951,0.38886,"outlier & student qs > the"
"172","Huazhong University of Science and Technology",60253,1.73494577065004,1227,"=334",56709,1.64555383341388,2043,"181",0.0893919372361598,-816,3544,0.0606,"not outlier"
"173","Hunan University",36502,0.621899033473324,1088,"571-580",40198,0.913617952935068,1922,"401¡V500",-0.291718919461744,-834,-3696,-0.09638,"not outlier"
"174","Illinois Institute of Technology",5875,-0.813378740915601,92,"444",5851,-0.608991318871961,394,"351¡V400",-0.20438742204364,-302,24,0.00409,"not outlier"
"175","Immanuel Kant Baltic Federal University",7341,-0.744677359217944,147,"651-700",7306,-0.544490882429791,521,"1201+",-0.200186476788153,-374,35,0.00478,"not outlier"
"176","Imperial College London",18318,-0.230260533232139,633,"7",17717,-0.0829692028425496,1241,"12",-0.14729133038959,-608,601,0.03336,"not outlier"
"177","Indian Institute of Science",4161,-0.893702184455701,48,"=186",4199,-0.682224804097024,270,"301¡V350",-0.211477380358677,-222,-38,-0.00909,"not outlier"
"178","Indian Institute of Technology Bhubaneswar",2101,-0.990240278792109,13,"701-750",1778,-0.789548210713171,99,"1001¡V1200",-0.200692068078938,-86,323,0.16654,"not outlier"
"179","Inha University",17753,-0.256738214445766,613,"561-570",18801,-0.0349152694382109,1313,"1001¡V1200",-0.221822945007555,-700,-1048,-0.05734,"not outlier"
"180","Institut Polytechnique de Paris",6104,-0.802647078972379,100,"=49",6087,-0.598529392411238,413,"91",-0.204117686561141,-313,17,0.00279,"not outlier"
"181","Instituto Politecnico Nacional (IPN)",133839,5.18341771717381,1262,"751-800",120639,4.47958331915131,2096,"1201+",0.703834398022503,-834,13200,0.10374,"outlier & student qs > the"
"182","Instituto Tecnologico de Buenos Aires (ITBA)",3476,-0.925803443980186,35,"701-750",3370,-0.718974537300157,219,"Reporter",-0.206828906680029,-184,106,0.03097,"not outlier"
"183","International Christian University",3228,-0.937425505822627,32,"801-1000",2941,-0.737992191756302,172,"Reporter",-0.199433314066325,-140,287,0.09305,"not outlier"
"184","Iowa State University",27351,0.193054324117753,908,"=494",31013,0.506445094707346,1758,"401¡V500",-0.313390770589593,-850,-3662,-0.12549,"not outlier"
"185","Iran University of Science and Technology",15299,-0.371740390902827,496,"541-550",15004,-0.203237026943999,1087,"601¡V800",-0.168503363958829,-591,295,0.01947,"not outlier"
"186","Irkutsk State University",12160,-0.518843826884374,374,"1001-1200",13039,-0.290345863788579,962,"1201+",-0.228497963095795,-588,-879,-0.06976,"not outlier"
"187","Istanbul Technical University",23395,0.0076636924697765,800,"701-750",25640,0.268258946938424,1575,"601¡V800",-0.260595254468647,-775,-2245,-0.09157,"not outlier"
"188","Istanbul University",86714,2.97499165134699,1254,"801-1000",84991,2.8993004612197,2088,"1001¡V1200",0.0756911901272881,-834,1723,0.02007,"not outlier"
"189","ITMO University",10814,-0.581921630271173,314,"=365",11089,-0.376789747680148,835,"601¡V800",-0.205131882591025,-521,-275,-0.02511,"not outlier"
"190","Ivan Franko National University of Lviv",18793,-0.208000535751657,656.5,"1001-1200",18895,-0.0307482309326686,1318,"1201+",-0.177252304818988,-661.5,-102,-0.00541,"not outlier"
"191","Ivane Javakhishvili Tbilisi State University",20475,-0.129176713094453,711,"571-580",21081,0.0661575794196231,1400,"1201+",-0.195334292514076,-689,-606,-0.02917,"not outlier"
