"","University","qs_students","the_students","continent","diff","pdiff","outlier"
"363","Shenzhen University",37323,36401,"asia",922,0.02501,"not outlier"
"364","Shinshu University",10984,10774,"asia",210,0.0193,"not outlier"
"365","Shiraz University",13470,13572,"asia",-102,-0.00754,"not outlier"
"366","Sichuan University",49543,51121,"asia",-1578,-0.03135,"not outlier"
"367","Silesian University of Technology",17323,18585,"europe",-1262,-0.07029,"not outlier"
"368","Simon Fraser University",25150,27015,"north_america",-1865,-0.0715,"not outlier"
"369","Slovak University of Agriculture in Nitra",5610,5326,"europe",284,0.05194,"not outlier"
"370","Slovak University of Technology in Bratislava",12733,10976,"europe",1757,0.14821,"not outlier"
"371","SOAS University of London",4684,4633,"europe",51,0.01095,"not outlier"
"372","Sogang University",9625,9652,"asia",-27,-0.0028,"not outlier"
"373","Soochow University",48549,46800,"asia",1749,0.03669,"not outlier"
"374","Sophia University",13757,13517,"asia",240,0.0176,"not outlier"
"375","Sorbonne University",42207,42330,"europe",-123,-0.00291,"not outlier"
"376","South China University of Technology",41024,41095,"asia",-71,-0.00173,"not outlier"
"377","Southeast University",36827,35213,"asia",1614,0.04481,"not outlier"
"378","Southern Cross University",9967,11141,"oceania",-1174,-0.11124,"not outlier"
"379","Southern Federal University",17931,18309,"europe",-378,-0.02086,"not outlier"
"380","Stanford University",16164,16319,"north_america",-155,-0.00954,"not outlier"
"381","Stellenbosch University",23260,24733,"africa",-1473,-0.06138,"not outlier"
"382","Stevens Institute of Technology",6224,6265,"north_america",-41,-0.00657,"not outlier"
"383","Stockholm University",27085,28072,"europe",-987,-0.03579,"not outlier"
"384","Suez Canal University",40138,36423,"africa",3715,0.09705,"not outlier"
"385","Sultan Qaboos University",6755,6755,"asia",0,0,"not outlier"
"386","Sumy State University",8030,8472,"europe",-442,-0.05357,"not outlier"
"387","Sun Yat-sen University",58586,56430,"asia",2156,0.03749,"not outlier"
"388","Sungkyunkwan University (SKKU)",22482,23104,"asia",-622,-0.02729,"not outlier"
"389","Suranaree University of Technology",13990,14247,"asia",-257,-0.0182,"not outlier"
"390","Swansea University",17744,17589,"europe",155,0.00877,"not outlier"
"391","Swinburne University of Technology",13478,16186,"oceania",-2708,-0.18258,"not outlier"
"392","Syracuse University",19214,20573,"north_america",-1359,-0.06831,"not outlier"
"393","Tallinn University",6353,4062,"europe",2291,0.43994,"outlier & student qs > the"
"394","Tamkang University",22697,23154,"asia",-457,-0.01993,"not outlier"
"395","Tampere University",15435,15438,"europe",-3,-0.00019,"not outlier"
"396","Tanta University",132788,124548,"africa",8240,0.06404,"not outlier"
"397","Taras Shevchenko National University of Kyiv",24624,23708,"europe",916,0.0379,"not outlier"
"398","Technical University of Cluj-Napoca",19037,18618,"europe",419,0.02225,"not outlier"
"399","Technical University of Darmstadt",15882,16009,"europe",-127,-0.00796,"not outlier"
"400","Technical University of Denmark",9322,9321,"europe",1,0.00011,"not outlier"
"401","Technical University of Liberec",5247,5129,"europe",118,0.02274,"not outlier"
"402","Technical University of Munich",34130,32672,"europe",1458,0.04365,"not outlier"
"403","Technological University Dublin",21363,20479,"europe",884,0.04225,"not outlier"
"404","Tel Aviv University",22728,22809,"asia",-81,-0.00356,"not outlier"
"405","Telkom University",21876,18377,"asia",3499,0.17385,"not outlier"
"406","Temple University",33439,36423,"north_america",-2984,-0.08543,"not outlier"
"407","Texas A&M University",64752,62790,"north_america",1962,0.03077,"not outlier"
"408","Texas Tech University",33996,34018,"north_america",-22,-0.00065,"not outlier"
"409","Thammasat University",28843,28843,"asia",0,0,"not outlier"
"410","The Catholic University of Korea",9091,9840,"asia",-749,-0.07913,"not outlier"
"411","The Hashemite University",18821,16987,"asia",1834,0.10244,"not outlier"
"412","The Hong Kong University of Science and Technology",9583,10147,"asia",-564,-0.05717,"not outlier"
"413","The New School",10145,10379,"north_america",-234,-0.0228,"not outlier"
"414","The University of Alabama",34051,35800,"north_america",-1749,-0.05008,"not outlier"
"415","The University of Queensland",41700,41914,"oceania",-214,-0.00512,"not outlier"
"416","The University of Tokyo",27704,25959,"asia",1745,0.06504,"not outlier"
"417","The University of Western Australia",18535,18683,"oceania",-148,-0.00795,"not outlier"
"418","Tianjin University",27355,27355,"asia",0,0,"not outlier"
"419","Tilburg University",11063,9944,"europe",1119,0.10654,"not outlier"
"420","Tohoku University",17717,17888,"asia",-171,-0.00961,"not outlier"
"421","Tokai University",28535,28535,"asia",0,0,"not outlier"
"422","Tokushima University",7508,7643,"asia",-135,-0.01782,"not outlier"
"423","Tokyo Medical and Dental University (TMDU)",3002,3027,"asia",-25,-0.00829,"not outlier"
"424","Tokyo Metropolitan University",9124,8911,"asia",213,0.02362,"not outlier"
"425","Tokyo University of Agriculture and Technology",5686,5690,"asia",-4,-7e-04,"not outlier"
"426","Tokyo University of Science",18066,18298,"asia",-232,-0.01276,"not outlier"
"427","Tomas Bata University in Zlin",6416,8635,"europe",-2219,-0.29486,"outlier & student qs < the"
"428","Tomsk State University",8184,7724,"europe",460,0.05783,"not outlier"
"429","Ton Duc Thang University",26833,26833,"asia",0,0,"not outlier"
"430","Tongji University",30628,30525,"asia",103,0.00337,"not outlier"
"431","Tsinghua University",39371,38221,"asia",1150,0.02964,"not outlier"
"432","TU Dortmund University",23692,25126,"europe",-1434,-0.05875,"not outlier"
"433","Tufts University",11046,11152,"north_america",-106,-0.00955,"not outlier"
"434","Tulane University",11077,11336,"north_america",-259,-0.02311,"not outlier"
"435","Tunghai University",15160,15547,"asia",-387,-0.02521,"not outlier"
"436","UCL",36903,35760,"europe",1143,0.03146,"not outlier"
"437","Ufa State Aviation Technical University",11092,9277,"europe",1815,0.17821,"not outlier"
"438","Ulm University",10271,10284,"",-13,-0.00126,"not outlier"
"439","Ulsan National Institute of Science and Technology (UNIST)",3849,3657,"asia",192,0.05116,"not outlier"
"440","Ulster University",14732,17416,"europe",-2684,-0.16698,"not outlier"
"441","Umea University",14194,17495,"europe",-3301,-0.20834,"not outlier"
"442","Umm Al-Qura University",30136,30043,"asia",93,0.00309,"not outlier"
"443","United Arab Emirates University",7121,7121,"asia",0,0,"not outlier"
"444","Universidad Autonoma de Chile",27464,27027,"latin_america",437,0.01604,"not outlier"
"445","Universidad Autonoma de Yucatan",16293,17401,"latin_america",-1108,-0.06577,"not outlier"
"446","Universidad Autonoma del Estado de Mexico (UAEMex)",69078,63490,"latin_america",5588,0.0843,"not outlier"
"447","Universidad Nacional del Litoral",45337,45337,"latin_america",0,0,"not outlier"
"448","Universidad Panamericana (UP)",12900,14568,"latin_america",-1668,-0.12145,"not outlier"
"449","Universidad San Ignacio de Loyola",21205,21167,"latin_america",38,0.00179,"not outlier"
"450","Universidad Tecnologica de Bolivar",6036,6965,"latin_america",-929,-0.14291,"not outlier"
"451","Universidade do Estado do Rio de Janeiro (UERJ)",34477,22427,"latin_america",12050,0.42352,"outlier & student qs > the"
"452","Universidade Federal da Bahia",42633,44829,"latin_america",-2196,-0.05022,"not outlier"
"453","Universidade Federal de Santa Catarina",32390,38086,"latin_america",-5696,-0.16164,"not outlier"
"454","Universidade Federal do Ceara (UFC)",33889,36593,"latin_america",-2704,-0.07673,"not outlier"
"455","Universitas Padjadjaran",32529,37497,"asia",-4968,-0.14189,"not outlier"
"456","Universitas Sebelas Maret",28644,27681,"asia",963,0.03419,"not outlier"
"457","Universitat Ramon Llull",17246,14309,"europe",2937,0.18615,"outlier & student qs > the"
"458","Universite de Paris",63219,62366,"europe",853,0.01358,"not outlier"
"459","Universite du Quebec",19934,52387,"north_america",-32453,-0.89747,"outlier & student qs < the"
"460","Universite Grenoble Alpes",52060,50732,"europe",1328,0.02584,"not outlier"
"461","Universite Laval",24309,28662,"north_america",-4353,-0.16435,"not outlier"
"462","Universite Paris-Saclay",40358,40884,"europe",-526,-0.01295,"not outlier"
"463","Universiti Malaysia Perlis",11264,11084,"asia",180,0.01611,"not outlier"
"464","Universiti Malaysia Sarawak (UNIMAS)",13308,14365,"asia",-1057,-0.07639,"not outlier"
"465","Universiti Malaysia Terengganu (UMT)",8644,9296,"asia",-652,-0.07269,"not outlier"
"466","Universiti Teknologi Malaysia",20354,19192,"asia",1162,0.05877,"not outlier"
"467","Universiti Tenaga Nasional (UNITEN)",4713,5644,"asia",-931,-0.17978,"not outlier"
"468","Universiti Tunku Abdul Rahman (UTAR)",17672,17727,"asia",-55,-0.00311,"not outlier"
"469","University College Cork",15768,17397,"europe",-1629,-0.09824,"not outlier"
"470","University College Dublin",21768,23066,"europe",-1298,-0.0579,"not outlier"
"471","University of <U+017D>ilina",7077,7040,"europe",37,0.00524,"not outlier"
"472","University of Aberdeen",13012,13107,"europe",-95,-0.00727,"not outlier"
"473","University of Agriculture, Faisalabad",27789,26990,"asia",799,0.02917,"not outlier"
"474","University of Alberta",34172,33475,"north_america",697,0.02061,"not outlier"
"475","University of Alicante",21854,24760,"europe",-2906,-0.12468,"not outlier"
"476","University of Amsterdam",30541,25556,"europe",4985,0.17773,"not outlier"
"477","University of Antwerp",16184,15347,"europe",837,0.05309,"not outlier"
"478","University of Babylon",26751,24196,"asia",2555,0.1003,"not outlier"
"479","University of Baghdad",69654,69750,"asia",-96,-0.00138,"not outlier"
"480","University of Bahrain",16305,18202,"asia",-1897,-0.10995,"not outlier"
"481","University of Balamand",4234,5020,"asia",-786,-0.16987,"not outlier"
"482","University of Basel",9441,9440,"europe",1,0.00011,"not outlier"
"483","University of Bath",16728,14655,"europe",2073,0.13211,"not outlier"
"484","University of Bayreuth",8090,8541,"europe",-451,-0.05424,"not outlier"
"485","University of Belgrade",97225,94316,"europe",2909,0.03037,"not outlier"
"486","University of Bergen",11918,14327,"europe",-2409,-0.18358,"not outlier"
"487","University of Bern",9688,11556,"europe",-1868,-0.17586,"not outlier"
"488","University of Birmingham",32562,31364,"europe",1198,0.03748,"not outlier"
"489","University of Bordeaux",48651,54346,"europe",-5695,-0.11059,"not outlier"
"490","University of Bradford",8300,8246,"europe",54,0.00653,"not outlier"
"491","University of Brescia",10509,14784,"europe",-4275,-0.33804,"outlier & student qs < the"
"492","University of Brighton",15331,16094,"europe",-763,-0.04856,"not outlier"
"493","University of Bristol",25659,24110,"europe",1549,0.06225,"not outlier"
"494","University of British Columbia",55924,54744,"north_america",1180,0.02133,"not outlier"
"495","University of Bucharest",32650,30096,"europe",2554,0.08141,"not outlier"
"496","University of Calabria",23112,26513,"europe",-3401,-0.13707,"not outlier"
"497","University of Calcutta",15156,19004,"asia",-3848,-0.22529,"outlier & student qs < the"
"498","University of Calgary",31863,33099,"north_america",-1236,-0.03805,"not outlier"
"499","University of California, Davis",34675,37222,"north_america",-2547,-0.07085,"not outlier"
"500","University of California, Irvine",35537,35944,"north_america",-407,-0.01139,"not outlier"
"501","University of California, Riverside",25077,23155,"north_america",1922,0.0797,"not outlier"
"502","University of California, Santa Cruz",19242,19700,"north_america",-458,-0.02352,"not outlier"
"503","University of Cambridge",20383,19681,"europe",702,0.03504,"not outlier"
"504","University of Canberra",10517,9893,"oceania",624,0.06115,"not outlier"
"505","University of Cape Town",21005,21757,"africa",-752,-0.03517,"not outlier"
"506","University of Central Florida",54304,61044,"north_america",-6740,-0.11686,"not outlier"
"507","University of Central Lancashire",20031,17644,"europe",2387,0.12672,"not outlier"
"508","University of Chemistry and Technology, Prague",4006,3842,"europe",164,0.04179,"not outlier"
"509","University of Coimbra",22963,21845,"europe",1118,0.0499,"not outlier"
"510","University of Cologne",31207,32405,"europe",-1198,-0.03767,"not outlier"
"511","University of Colombo",22300,30227,"asia",-7927,-0.30183,"outlier & student qs < the"
"512","University of Colorado Boulder",33504,35491,"north_america",-1987,-0.0576,"not outlier"
"513","University of Connecticut",24946,28024,"north_america",-3078,-0.11622,"not outlier"
"514","University of Copenhagen",30311,30326,"europe",-15,-0.00049,"not outlier"
"515","University of Crete",13832,13620,"europe",212,0.01545,"not outlier"
"516","University of Debrecen",23712,28593,"europe",-4881,-0.18664,"not outlier"
"517","University of Delaware",21747,21916,"north_america",-169,-0.00774,"not outlier"
"518","University of Delhi",25235,25543,"asia",-308,-0.01213,"not outlier"
"519","University of Denver",10054,9624,"north_america",430,0.0437,"not outlier"
"520","University of Derby",15539,14941,"europe",598,0.03924,"not outlier"
"521","University of Dhaka",33360,207118,"asia",-173758,-1.44511,"outlier & student qs < the"
"522","University of Dundee",12936,13016,"europe",-80,-0.00617,"not outlier"
"523","University of East London",12554,10769,"europe",1785,0.15307,"not outlier"
"524","University of Eastern Finland",11913,11688,"europe",225,0.01907,"not outlier"
"525","University of Electronic Science and Technology of China",33428,35342,"asia",-1914,-0.05566,"not outlier"
"526","University of Engineering & Technology (UET) Lahore",13377,13377,"asia",0,0,"not outlier"
"527","University of Florence",35726,36629,"europe",-903,-0.02496,"not outlier"
"528","University of Florida",46120,47007,"north_america",-887,-0.01905,"not outlier"
"529","University of Geneva",17135,17744,"europe",-609,-0.03492,"not outlier"
"530","University of Genoa",22323,23225,"europe",-902,-0.03961,"not outlier"
"531","University of Ghana",37517,43877,"africa",-6360,-0.15628,"not outlier"
"532","University of Glasgow",28249,27625,"europe",624,0.02234,"not outlier"
"533","University of Gothenburg",20689,21033,"europe",-344,-0.01649,"not outlier"
"534","University of Gottingen",30285,30610,"europe",-325,-0.01067,"not outlier"
"535","University of Granada",49856,50604,"europe",-748,-0.01489,"not outlier"
"536","University of Greenwich",16566,14196,"europe",2370,0.15409,"not outlier"
"537","University of Groningen",31070,29440,"europe",1630,0.05388,"not outlier"
"538","University of Guelph",21405,22571,"north_america",-1166,-0.05303,"not outlier"
"539","University of Haifa",15675,16228,"asia",-553,-0.03467,"not outlier"
"540","University of Helsinki",22628,22628,"europe",0,0,"not outlier"
"541","University of Hertfordshire",20519,17771,"europe",2748,0.14354,"not outlier"
"542","University of Hohenheim",8776,8614,"europe",162,0.01863,"not outlier"
"543","University of Houston",37293,47002,"north_america",-9709,-0.23036,"outlier & student qs < the"
"544","University of Hradec Kralove",5144,6344,"europe",-1200,-0.20891,"not outlier"
"545","University of Huddersfield",14818,14349,"europe",469,0.03216,"not outlier"
"546","University of Hull",12724,13438,"europe",-714,-0.05458,"not outlier"
"547","University of Illinois at Urbana-Champaign",45906,47202,"north_america",-1296,-0.02784,"not outlier"
"548","University of International Business and Economics",15708,15985,"asia",-277,-0.01748,"not outlier"
"549","University of Iowa",27922,29591,"north_america",-1669,-0.05804,"not outlier"
"550","University of Johannesburg",18941,28273,"africa",-9332,-0.39531,"outlier & student qs < the"
"551","University of Jyvaskyla",10457,10277,"europe",180,0.01736,"not outlier"
"552","University of Kansas",24377,24581,"north_america",-204,-0.00833,"not outlier"
"553","University of Karachi",43129,43770,"asia",-641,-0.01475,"not outlier"
"554","University of Kent",16530,17282,"europe",-752,-0.04448,"not outlier"
"555","University of Kentucky",27154,26483,"north_america",671,0.02502,"not outlier"
"556","University of Klagenfurt",3477,3173,"europe",304,0.09143,"not outlier"
"557","University of Kragujevac",15717,15717,"europe",0,0,"not outlier"
"558","University of Kufa",24992,28179,"asia",-3187,-0.11988,"not outlier"
"559","University of Latvia",12055,12054,"europe",1,8e-05,"not outlier"
"560","University of Lausanne",13366,13016,"europe",350,0.02653,"not outlier"
"561","University of Leeds",34979,33318,"europe",1661,0.04864,"not outlier"
"562","University of Leicester",14696,15029,"europe",-333,-0.02241,"not outlier"
"563","University of Limerick",13464,14951,"europe",-1487,-0.10466,"not outlier"
"564","University of Lincoln",15452,13925,"europe",1527,0.10396,"not outlier"
"565","University of Lisbon",48404,49198,"europe",-794,-0.01627,"not outlier"
"566","University of Liverpool",26779,25910,"europe",869,0.03299,"not outlier"
"567","University of Ljubljana",37874,37874,"europe",0,0,"not outlier"
"568","University of Macau",10340,9874,"asia",466,0.04611,"not outlier"
"569","University of Malta",8814,10137,"europe",-1323,-0.13962,"not outlier"
"570","University of Manitoba",31309,28888,"north_america",2421,0.08044,"not outlier"
"571","University of Maribor",12241,11732,"europe",509,0.04246,"not outlier"
"572","University of Maryland, Baltimore County",11662,11663,"north_america",-1,-9e-05,"not outlier"
"573","University of Maryland, College Park",37449,34017,"north_america",3432,0.09605,"not outlier"
"574","University of Miami",16166,16479,"north_america",-313,-0.01918,"not outlier"
"575","University of Michigan-Ann Arbor",45651,44663,"north_america",988,0.02188,"not outlier"
"576","University of Milan",49944,44959,"europe",4985,0.10505,"not outlier"
"577","University of Minho",19167,19246,"europe",-79,-0.00411,"not outlier"
"578","University of Miskolc",8024,9069,"europe",-1045,-0.12227,"not outlier"
"579","University of Modena and Reggio Emilia",21393,19907,"europe",1486,0.07196,"not outlier"
"580","University of Mumbai",7019,13196,"asia",-6177,-0.61113,"outlier & student qs < the"
"581","University of Murcia",27373,27067,"europe",306,0.01124,"not outlier"
"582","University of Navarra",11651,11545,"europe",106,0.00914,"not outlier"
"583","University of North Carolina at Charlotte",25308,27133,"north_america",-1825,-0.0696,"not outlier"
"584","University of Notre Dame",12453,12234,"north_america",219,0.01774,"not outlier"
"585","University of Nottingham",33110,31360,"europe",1750,0.05429,"not outlier"
"586","University of Oregon",21241,22034,"north_america",-793,-0.03665,"not outlier"
"587","University of Oslo",17623,21413,"europe",-3790,-0.19418,"not outlier"
"588","University of Ostrava",6935,8570,"europe",-1635,-0.2109,"not outlier"
"589","University of Otago",18723,18690,"oceania",33,0.00176,"not outlier"
"590","University of Ottawa",36670,35791,"north_america",879,0.02426,"not outlier"
"591","University of Oulu",9759,9756,"europe",3,0.00031,"not outlier"
"592","University of Oxford",20889,20835,"europe",54,0.00259,"not outlier"
"593","University of Palermo",28571,31324,"europe",-2753,-0.09193,"not outlier"
"594","University of Pardubice",5115,7329,"europe",-2214,-0.35583,"outlier & student qs < the"
"595","University of Parma",28169,27015,"europe",1154,0.04182,"not outlier"
"596","University of Patras",25974,25870,"europe",104,0.00401,"not outlier"
"597","University of Pecs",16878,17223,"europe",-345,-0.02023,"not outlier"
"598","University of Pennsylvania",21313,21211,"north_america",102,0.0048,"not outlier"
"599","University of Peradeniya",17469,16647,"asia",822,0.04819,"not outlier"
"600","University of Pisa",32656,33780,"europe",-1124,-0.03384,"not outlier"
"601","University of Plymouth",16181,16505,"europe",-324,-0.01983,"not outlier"
"602","University of Porto",28867,33120,"europe",-4253,-0.13722,"not outlier"
"603","University of Portsmouth",22386,21688,"europe",698,0.03167,"not outlier"
"604","University of Pretoria",43861,36337,"africa",7524,0.18764,"outlier & student qs > the"
"605","University of Reading",16196,15433,"europe",763,0.04825,"not outlier"
"606","University of Rhode Island",15114,16615,"north_america",-1501,-0.09461,"not outlier"
"607","University of Rijeka",14009,14423,"europe",-414,-0.02912,"not outlier"
"608","University of Rochester",10177,10177,"north_america",0,0,"not outlier"
"609","University of Salamanca",26965,28269,"europe",-1304,-0.04722,"not outlier"
"610","University of Salerno",25638,25911,"europe",-273,-0.01059,"not outlier"
"611","University of Salford",18569,17448,"europe",1121,0.06225,"not outlier"
"612","University of Saskatchewan",16622,17896,"north_america",-1274,-0.07382,"not outlier"
"613","University of Science and Technology Beijing",24368,27845,"asia",-3477,-0.13319,"not outlier"
"614","University of Science and Technology of China",17922,16718,"asia",1204,0.06952,"not outlier"
"615","University of Seoul",8718,9183,"asia",-465,-0.05195,"not outlier"
"616","University of Sharjah",12411,12370,"asia",41,0.00331,"not outlier"
"617","University of Siena",12115,12772,"europe",-657,-0.0528,"not outlier"
"618","University of South Australia",19593,22377,"oceania",-2784,-0.13267,"not outlier"
"619","University of South Florida",39907,39779,"north_america",128,0.00321,"not outlier"
"620","University of Southampton",21752,21815,"europe",-63,-0.00289,"not outlier"
"621","University of Southern California",31999,42502,"north_america",-10503,-0.28196,"outlier & student qs < the"
"622","University of Southern Queensland",11841,11841,"oceania",0,0,"not outlier"
"623","University of Split",16144,19600,"europe",-3456,-0.19338,"not outlier"
"624","University of St Andrews",9643,9500,"europe",143,0.01494,"not outlier"
"625","University of Stirling",9961,9749,"europe",212,0.02151,"not outlier"
"626","University of Strathclyde",19771,19337,"europe",434,0.02219,"not outlier"
"627","University of Surrey",15875,14455,"europe",1420,0.09364,"not outlier"
"628","University of Sussex",18014,17407,"europe",607,0.03427,"not outlier"
"629","University of Szeged",19422,19108,"europe",314,0.0163,"not outlier"
"630","University of Tartu",10498,9087,"europe",1411,0.14409,"not outlier"
"631","University of Tasmania",13043,18610,"oceania",-5567,-0.35175,"outlier & student qs < the"
"632","University of Technology Sydney",24166,26955,"oceania",-2789,-0.10911,"not outlier"
"633","University of Tehran",44960,43998,"asia",962,0.02163,"not outlier"
"634","University of Texas at Austin",48741,49845,"north_america",-1104,-0.0224,"not outlier"
"635","University of the Basque Country",36999,42869,"europe",-5870,-0.14699,"not outlier"
"636","University of the Philippines",41961,44310,"asia",-2349,-0.05446,"not outlier"
"637","University of the Punjab",26525,27907,"asia",-1382,-0.05078,"not outlier"
"638","University of the Sunshine Coast",17468,10427,"oceania",7041,0.50482,"outlier & student qs > the"
"639","University of the West of England",25109,23322,"europe",1787,0.0738,"not outlier"
"640","University of the Western Cape",18540,23498,"africa",-4958,-0.23588,"outlier & student qs < the"
"641","University of Toronto",77710,75821,"north_america",1889,0.02461,"not outlier"
"642","University of Trento",13876,13782,"europe",94,0.0068,"not outlier"
"643","University of Trieste",16314,16432,"europe",-118,-0.00721,"not outlier"
"644","University of Tsukuba",16431,15853,"asia",578,0.03581,"not outlier"
"645","University of Turin",57661,57586,"europe",75,0.0013,"not outlier"
"646","University of Turku",12669,12851,"europe",-182,-0.01426,"not outlier"
"647","University of Twente",12243,8981,"europe",3262,0.30739,"outlier & student qs > the"
"648","University of Tyumen",11323,10872,"europe",451,0.04064,"not outlier"
"649","University of Ulsan",12916,12872,"asia",44,0.00341,"not outlier"
"650","University of Utah",27299,30794,"north_america",-3495,-0.12032,"not outlier"
"651","University of Vienna",45285,33852,"europe",11433,0.28894,"outlier & student qs > the"
"652","University of Waikato",8489,10617,"oceania",-2128,-0.22276,"outlier & student qs < the"
"653","University of Warsaw",37125,37541,"europe",-416,-0.01114,"not outlier"
"654","University of Washington",43156,52059,"north_america",-8903,-0.18701,"not outlier"
"655","University of Waterloo",35088,33613,"north_america",1475,0.04294,"not outlier"
"656","University of Westminster",17198,16145,"europe",1053,0.06316,"not outlier"
"657","University of Windsor",13315,13853,"north_america",-538,-0.03961,"not outlier"
"658","University of Wisconsin-Madison",40699,39783,"north_america",916,0.02276,"not outlier"
"659","University of Wollongong",18236,18222,"oceania",14,0.00077,"not outlier"
"660","University of Wolverhampton",13964,14527,"europe",-563,-0.03952,"not outlier"
"661","University of Wyoming",10603,10787,"north_america",-184,-0.0172,"not outlier"
"662","University of York",19645,17302,"europe",2343,0.12683,"not outlier"
"663","University of Zagreb",55741,57807,"europe",-2066,-0.03639,"not outlier"
"664","University of Zurich",23285,23714,"europe",-429,-0.01826,"not outlier"
"665","Uppsala University",29063,26917,"europe",2146,0.07667,"not outlier"
"666","Utrecht University",33748,33569,"europe",179,0.00532,"not outlier"
"667","Vanderbilt University",12367,12366,"north_america",1,8e-05,"not outlier"
"668","Verona University",16241,18825,"europe",-2584,-0.14738,"not outlier"
"669","Victoria University",16707,16680,"oceania",27,0.00162,"not outlier"
"670","Victoria University of Wellington",18006,17933,"oceania",73,0.00406,"not outlier"
"671","Vietnam National University, Hanoi",41803,41803,"asia",0,0,"not outlier"
"672","Vilnius University",17341,16815,"europe",526,0.0308,"not outlier"
"673","Virginia Polytechnic Institute and State University",33864,34950,"north_america",-1086,-0.03156,"not outlier"
"674","Voronezh State University",15763,15946,"europe",-183,-0.01154,"not outlier"
"675","Vrije Universiteit Amsterdam",26990,26593,"europe",397,0.01482,"not outlier"
"676","VSB - Technical University of Ostrava",11854,10988,"europe",866,0.07583,"not outlier"
"677","Vytautas Magnus University",7765,7328,"europe",437,0.05791,"not outlier"
"678","Wageningen University & Research",15102,14871,"europe",231,0.01541,"not outlier"
"679","Wake Forest University",8121,8054,"north_america",67,0.00828,"not outlier"
"680","Warsaw University of Technology",21887,25482,"europe",-3595,-0.15179,"not outlier"
"681","Waseda University",43254,47565,"asia",-4311,-0.09494,"not outlier"
"682","Washington State University",27704,29326,"north_america",-1622,-0.05688,"not outlier"
"683","Wayne State University",20343,22598,"north_america",-2255,-0.10503,"not outlier"
"684","Western Michigan University",18612,18211,"north_america",401,0.02178,"not outlier"
"685","Western Sydney University",35641,35766,"oceania",-125,-0.0035,"not outlier"
"686","Western University",28309,28301,"north_america",8,0.00028,"not outlier"
"687","Worcester Polytechnic Institute",5834,5982,"north_america",-148,-0.02505,"not outlier"
"688","Wuhan University",54421,54421,"asia",0,0,"not outlier"
"689","Wuhan University of Technology",51497,53791,"asia",-2294,-0.04358,"not outlier"
"690","Xi¡¦an Jiaotong University",44568,38879,"asia",5689,0.13635,"not outlier"
"691","Xiamen University",38121,42141,"asia",-4020,-0.10017,"not outlier"
"692","Yale University",9420,13317,"north_america",-3897,-0.34279,"outlier & student qs < the"
"693","Yamaguchi University",10371,10739,"asia",-368,-0.03486,"not outlier"
"694","Yarmouk University",34080,34222,"asia",-142,-0.00416,"not outlier"
"695","Yeungnam University",21204,19589,"asia",1615,0.07918,"not outlier"
"696","Yokohama City University",5087,5054,"asia",33,0.00651,"not outlier"
"697","Yokohama National University",9680,9805,"asia",-125,-0.01283,"not outlier"
"698","York University",43062,43258,"north_america",-196,-0.00454,"not outlier"
"699","Yuan Ze University",8017,8017,"asia",0,0,"not outlier"
"700","Zagazig University",154303,147705,"africa",6598,0.04369,"not outlier"
"701","Zayed University",6885,7844,"asia",-959,-0.13022,"not outlier"
"702","Zhejiang University",39936,40352,"asia",-416,-0.01036,"not outlier"
