"","University","qs_students","the_students","continent","diff","pdiff","outlier"
"83","Chongqing University",40423,40613,"asia",-190,-0.00469,"not outlier"
"84","Chonnam National University",20946,22250,"asia",-1304,-0.06038,"not outlier"
"85","Chulalongkorn University",34509,34719,"asia",-210,-0.00607,"not outlier"
"86","Chung Yuan Christian University",15622,15314,"asia",308,0.01991,"not outlier"
"87","Chungbuk National University",15191,17669,"asia",-2478,-0.15082,"not outlier"
"88","Chungnam National University",19789,21471,"asia",-1682,-0.08153,"not outlier"
"89","City University of Hong Kong",9564,9506,"asia",58,0.00608,"not outlier"
"90","City, University of London",15158,14989,"europe",169,0.01121,"not outlier"
"91","Clark University",3219,3020,"north_america",199,0.06379,"not outlier"
"92","Clarkson University",4214,4466,"north_america",-252,-0.05806,"not outlier"
"93","Clemson University",23614,22785,"north_america",829,0.03573,"not outlier"
"94","Colorado School of Mines",6248,6226,"north_america",22,0.00353,"not outlier"
"95","Columbia University",27321,21608,"north_america",5713,0.23352,"outlier & student qs > the"
"96","Comenius University in Bratislava",20919,21008,"europe",-89,-0.00425,"not outlier"
"97","Complutense University of Madrid",60471,66338,"europe",-5867,-0.09253,"not outlier"
"98","COMSATS University Islamabad",34994,35851,"asia",-857,-0.02419,"not outlier"
"99","Concordia University",34773,35698,"north_america",-925,-0.02625,"not outlier"
"100","Cornell University",23890,23600,"north_america",290,0.01221,"not outlier"
"101","Corvinus University of Budapest",12548,12722,"europe",-174,-0.01377,"not outlier"
"102","Coventry University",33394,30827,"europe",2567,0.07994,"not outlier"
"103","Cukurova University",40152,42177,"asia",-2025,-0.04919,"not outlier"
"104","Curtin University",24264,30221,"oceania",-5957,-0.21867,"outlier & student qs < the"
"105","CY Cergy Paris University",8465,14768,"europe",-6303,-0.54259,"outlier & student qs < the"
"106","Czech Technical University in Prague",15276,17410,"europe",-2134,-0.13058,"not outlier"
"107","Dalhousie University",15837,16077,"north_america",-240,-0.01504,"not outlier"
"108","Dalian University of Technology",42093,40469,"asia",1624,0.03934,"not outlier"
"109","Dartmouth College",6444,6378,"north_america",66,0.01029,"not outlier"
"110","De La Salle University",12070,12386,"asia",-316,-0.02584,"not outlier"
"111","De Montfort University",25293,21889,"europe",3404,0.14429,"not outlier"
"112","Deakin University",42444,42675,"oceania",-231,-0.00543,"not outlier"
"113","Delft University of Technology",20273,20133,"europe",140,0.00693,"not outlier"
"114","Diponegoro University",38567,38567,"asia",0,0,"not outlier"
"115","Don State Technical University",26251,26376,"europe",-125,-0.00475,"not outlier"
"116","Doshisha University",28946,28074,"asia",872,0.03059,"not outlier"
"117","Drexel University",20164,19984,"north_america",180,0.00897,"not outlier"
"118","Dublin City University",14030,13315,"europe",715,0.05229,"not outlier"
"119","Duke University",15969,15785,"north_america",184,0.01159,"not outlier"
"120","Durham University",18717,17724,"europe",993,0.0545,"not outlier"
"121","East China Normal University",27826,27424,"asia",402,0.01455,"not outlier"
"122","East China University of Science and Technology",28007,27720,"asia",287,0.0103,"not outlier"
"123","Ecole des Ponts ParisTech",1957,2096,"europe",-139,-0.06859,"not outlier"
"124","Ecole Normale Superieure de Lyon",2066,2272,"europe",-206,-0.09497,"not outlier"
"125","Edinburgh Napier University",12571,10812,"europe",1759,0.15045,"not outlier"
