"","a","b"
"145","=145","University of Cologne"
"146","=145","University of Ottawa"
"147","=147","University of Auckland"
"148","=147","University of Rochester"
"149","=149","Durham University"
"150","=149","University of Geneva"
"151","151","Pohang University of Science and Technology (POSTECH)"
"152","=152","University of Florida"
"153","=152","Pompeu Fabra University"
"154","=152","TU Dresden"
"155","=155","University of Cape Town"
"156","=155","Trinity College Dublin"
"157","=155","Tufts University"
"158","=158","Bielefeld University"
"159","=158","University of Nottingham"
"160","=160","University of Leeds"
"161","=160","University of Sussex"
"162","=160","University of Technology Sydney"
"163","163","University of Liverpool"
"164","=164","Universite Catholique de Louvain"
"165","=164","University of Vienna"
"166","166","Rutgers, the State University of New Jersey"
"167","=167","University of Bologna"
"168","=167","Korea University"
"169","169","University of Alabama at Birmingham"
"170","=170","University of Antwerp"
"171","=170","University of Leicester"
"172","=170","University of Notre Dame"
"173","=170","Sant¡¦Anna School of Advanced Studies ¡V Pisa"
"174","=174","University of Exeter"
"175","=174","Lomonosov Moscow State University"
"176","=176","Northeastern University"
"177","=176","Ulsan National Institute of Science and Technology (UNIST)"
"178","=178","University of Aberdeen"
"179","=178","Newcastle University"
"180","=178","Paris-Saclay University"
"181","181","Scuola Normale Superiore di Pisa"
"182","182","Autonomous University of Barcelona"
"183","183","Stockholm University"
"184","=184","Arizona State University (Tempe)"
"185","=184","University of Canberra"
"186","186","Queensland University of Technology"
"187","=187","Eindhoven University of Technology"
"188","=187","George Washington University"
"189","=187","Technical University of Denmark"
"190","=187","Yonsei University (Seoul campus)"
"191","=191","Cardiff University"
"192","=191","University of Gothenburg"
"193","=191","University of Lausanne"
"194","=191","Tel Aviv University"
"195","=195","Macquarie University"
"196","=195","University of Munster"
"197","197","Texas A&M University"
"198","=198","University of Barcelona"
"199","=198","University of Erlangen-Nuremberg"
"200","=200","University of Calgary"
"201","=200","University of East Anglia"
"202","=200","Queen¡¦s University Belfast"
"203","201¡V250","Aalborg University"
"204","201¡V250","Aalto University"
"205","201¡V250","University of Bath"
"206","201¡V250","University of Bergen"
"207","201¡V250","Brandeis University"
"208","201¡V250","University of California, Santa Cruz"
"209","201¡V250","Chalmers University of Technology"
"210","201¡V250","Copenhagen Business School"
"211","201¡V250","Curtin University"
"212","201¡V250","University of Duisburg-Essen"
"213","201¡V250","University of Dundee"
"214","201¡V250","Griffith University"
"215","201¡V250","University of Hawai¡¦i at M<U+0101>noa"
"216","201¡V250","Hebrew University of Jerusalem"
"217","201¡V250","University of Hohenheim"
"218","201¡V250","Howard University"
"219","201¡V250","University of Iowa"
"220","201¡V250","James Cook University"
"221","201¡V250","Karlsruhe Institute of Technology"
"222","201¡V250","King Abdulaziz University"
"223","201¡V250","KTH Royal Institute of Technology"
"224","201¡V250","La Trobe University"
"225","201¡V250","Universite Libre de Bruxelles"
"226","201¡V250","University of Luxembourg"
"227","201¡V250","University of Massachusetts"
"228","201¡V250","Medical University of Graz"
"229","201¡V250","Medical University of Innsbruck"
"230","201¡V250","Medical University of Vienna"
"231","201¡V250","University of Miami"
"232","201¡V250","Moscow Institute of Physics and Technology (MIPT)"
"233","201¡V250","University of Otago"
"234","201¡V250","RCSI University of Medicine and Health Sciences"
"235","201¡V250","University of Reading"
"236","201¡V250","St George¡¦s, University of London"
"237","201¡V250","University of Sao Paulo"
"238","201¡V250","Sapienza University of Rome"
"239","201¡V250","University of South Florida (Tampa)"
"240","201¡V250","University of St Andrews"
"241","201¡V250","Telecom Paris"
"242","201¡V250","Tilburg University"
"243","201¡V250","Tohoku University"
"244","201¡V250","University of Twente"
"245","201¡V250","University of Utah"
"246","201¡V250","Virginia Polytechnic Institute and State University"
"247","201¡V250","University of Waterloo"
"248","201¡V250","Western University"
"249","201¡V250","University of the Witwatersrand"
"250","201¡V250","University of Wollongong"
"251","251¡V300","Alfaisal University"
"252","251¡V300","Auckland University of Technology"
"253","251¡V300","Australian Catholic University"
"254","251¡V300","Brighton and Sussex Medical School"
"255","251¡V300","University at Buffalo"
"256","251¡V300","University of California, Riverside"
"257","251¡V300","University of Cincinnati ¡V Uptown"
"258","251¡V300","Dalhousie University"
"259","251¡V300","Deakin University"
"260","251¡V300","Ecole des Ponts ParisTech"
"261","251¡V300","Ecole Normale Superieure de Lyon"
"262","251¡V300","Flinders University"
"263","251¡V300","Florida State University"
"264","251¡V300","Friedrich Schiller University Jena"
"265","251¡V300","George Mason University"
"266","251¡V300","Goethe University Frankfurt"
"267","251¡V300","HSE University"
"268","251¡V300","University of Illinois at Chicago"
"269","251¡V300","Jacobs University"
"270","251¡V300","University of Kiel"
"271","251¡V300","University of Konstanz"
"272","251¡V300","Kyung Hee University"
"273","251¡V300","Universite Laval"
"274","251¡V300","Macau University of Science and Technology"
"275","251¡V300","University of Navarra"
"276","251¡V300","University of Newcastle"
"277","251¡V300","University of New Mexico (Main campus)"
"278","251¡V300","Nova Southeastern University"
"279","251¡V300","Oregon Health and Science University"
"280","251¡V300","University of Padua"
"281","251¡V300","University of Potsdam"
"282","251¡V300","Queen¡¦s University"
"283","251¡V300","Ruhr University Bochum"
"284","251¡V300","Simon Fraser University"
"285","251¡V300","University of Southern Denmark"
"286","251¡V300","Southern University of Science and Technology (SUSTech)"
"287","251¡V300","Stellenbosch University"
"288","251¡V300","SUNY University at Albany"
"289","251¡V300","Sun Yat-sen University"
"290","251¡V300","University of Surrey"
"291","251¡V300","Universita della Svizzera italiana"
"292","251¡V300","Swansea University"
"293","251¡V300","University of Tartu"
"294","251¡V300","University College Dublin"
"295","251¡V300","Vita-Salute San Raffaele University"
"296","251¡V300","Vrije Universiteit Brussel"
"297","251¡V300","Wake Forest University"
"298","251¡V300","Western Sydney University"
"299","251¡V300","William & Mary"
"300","301¡V350","American University of Beirut"
"301","301¡V350","Anglia Ruskin University (ARU)"
"302","301¡V350","Autonomous University of Madrid"
"303","301¡V350","Beijing Normal University"
"304","301¡V350","Boston College"
"305","301¡V350","University of California, Merced"
"306","301¡V350","University of Colorado Denver/Anschutz Medical Campus"
"307","301¡V350","Cyprus University of Technology"
"308","301¡V350","University of Delaware"
"309","301¡V350","University of Essex"
"310","301¡V350","University of Greifswald"
"311","301¡V350","Huazhong University of Science and Technology"
"312","301¡V350","Illinois Institute of Technology"
"313","301¡V350","Indian Institute of Science"
"314","301¡V350","Johannes Gutenberg University of Mainz"
"315","301¡V350","University of Kent"
"316","301¡V350","University of Klagenfurt"
"317","301¡V350","Kurdistan University of Medical Sciences"
"318","301¡V350","University of Macau"
"319","301¡V350","University of Malaya"
"320","301¡V350","University of Marburg"
"321","301¡V350","Montpellier University"
"322","301¡V350","National University of Ireland, Galway"
"323","301¡V350","North Carolina State University"
"324","301¡V350","University of Oregon"
"325","301¡V350","University of Oulu"
"326","301¡V350","University of Passau"
"327","301¡V350","Peter the Great St Petersburg Polytechnic University"
"328","301¡V350","Qatar University"
"329","301¡V350","Reykjavik University"
"330","301¡V350","RMIT University"
"331","301¡V350","Royal Holloway, University of London"
"332","301¡V350","Rush University"
"333","301¡V350","Sejong University"
"334","301¡V350","University of South Australia"
"335","301¡V350","University of Stirling"
"336","301¡V350","Stony Brook University"
"337","301¡V350","Syracuse University"
"338","301¡V350","Taipei Medical University"
"339","301¡V350","Tampere University"
"340","301¡V350","Technical University of Darmstadt"
"341","301¡V350","Temple University"
"342","301¡V350","The University of Tennessee-Knoxville"
"343","301¡V350","University of Texas at Dallas"
"344","301¡V350","Tokyo Institute of Technology"
"345","301¡V350","University of Trento"
"346","301¡V350","Tulane University"
"347","301¡V350","United Arab Emirates University"
"348","301¡V350","University College Cork"
"349","301¡V350","Washington State University"
"350","301¡V350","Wuhan University"
"351","351¡V400","Aix-Marseille University"
"352","351¡V400","Babol Noshirvani University of Technology"
"353","351¡V400","University of Bayreuth"
"354","351¡V400","Birkbeck, University of London"
"355","351¡V400","Universiti Brunei Darussalam"
"356","351¡V400","Brunel University London"
"357","351¡V400","Catholic University of Portugal"
"358","351¡V400","Central South University"
"359","351¡V400","City, University of London"
"360","351¡V400","University of Crete"
"361","351¡V400","Drexel University"
"362","351¡V400","East China Normal University"
"363","351¡V400","University of Fribourg"
"364","351¡V400","Grenoble Alpes University"
"365","351¡V400","Hanyang University"
"366","351¡V400","Hasselt University"
"367","351¡V400","Heriot-Watt University"
"368","351¡V400","Hong Kong Baptist University"
"369","351¡V400","IMT Atlantique"
"370","351¡V400","Indian Institute of Technology Ropar"
"371","351¡V400","University of Innsbruck"
"372","351¡V400","University of Kansas"
"373","351¡V400","Khalifa University"
"374","351¡V400","University of KwaZulu-Natal"
"375","351¡V400","Lappeenranta-Lahti University of Technology LUT"
"376","351¡V400","University of Liege"
"377","351¡V400","Loughborough University"
"378","351¡V400","University of Manitoba"
"379","351¡V400","University of Milan"
"380","351¡V400","University of Milan-Bicocca"
"381","351¡V400","Nagoya University"
"382","351¡V400","Nankai University"
"383","351¡V400","National Tsing Hua University"
"384","351¡V400","Northumbria University"
"385","351¡V400","NOVA University of Lisbon"
"386","351¡V400","University of Occupational and Environmental Health, Japan"
"387","351¡V400","Orebro University"
"388","351¡V400","Osaka University"
"389","351¡V400","Politecnico di Milano"
"390","351¡V400","University of Stuttgart"
"391","351¡V400","Swedish University of Agricultural Sciences"
"392","351¡V400","Swinburne University of Technology"
"393","351¡V400","University of Tasmania"
"394","351¡V400","University of Turku"
"395","351¡V400","UiT The Arctic University of Norway"
"396","351¡V400","Umea University"
"397","351¡V400","Universite de Versailles Saint-Quentin-en-Yvelines"
"398","351¡V400","Victoria University"
"399","351¡V400","University of Victoria"
"400","351¡V400","Wayne State University"
"401","401¡V500","Aberystwyth University"
"402","401¡V500","University of Alaska Fairbanks"
"403","401¡V500","American University"
"404","401¡V500","Aston University"
"405","401¡V500","Aswan University"
"406","401¡V500","Bangor University"
"407","401¡V500","University of Bari Aldo Moro"
"408","401¡V500","Bauman Moscow State Technical University"
"409","401¡V500","University of Bordeaux"
"410","401¡V500","Bournemouth University"
"411","401¡V500","University of Bremen"
"412","401¡V500","University of Brescia"
"413","401¡V500","University of Campinas"
"414","401¡V500","Cankaya University"
"415","401¡V500","University of Canterbury"
"416","401¡V500","Centrale Nantes"
"417","401¡V500","CEU Universities"
"418","401¡V500","Charles University in Prague"
"419","401¡V500","China Medical University, Taiwan"
"420","401¡V500","Clark University"
"421","401¡V500","Colorado School of Mines"
"422","401¡V500","Colorado State University, Fort Collins"
"423","401¡V500","University of Connecticut"
"424","401¡V500","University of Denver"
"425","401¡V500","University of Desarrollo"
"426","401¡V500","Diego Portales University"
"427","401¡V500","Durban University of Technology"
"428","401¡V500","University of Eastern Finland"
"429","401¡V500","Edith Cowan University"
"430","401¡V500","Federal University of Toulouse Midi-Pyrenees"
"431","401¡V500","University of Florence"
"432","401¡V500","Florida International University"
"433","401¡V500","Free University of Bozen-Bolzano"
"434","401¡V500","University of Genoa"
"435","401¡V500","University of Georgia"
"436","401¡V500","Georgia State University"
"437","401¡V500","Goldsmiths, University of London"
"438","401¡V500","Harbin Institute of Technology"
"439","401¡V500","Hunan University"
"440","401¡V500","University of Ibadan"
"441","401¡V500","University of Iceland"
"442","401¡V500","Indian Institute of Technology Indore"
"443","401¡V500","Iowa State University"
"444","401¡V500","Jordan University of Science and Technology"
"445","401¡V500","Justus Liebig University Giessen"
"446","401¡V500","University of Jyvaskyla"
"447","401¡V500","University of Kentucky"
"448","401¡V500","King Saud University"
"449","401¡V500","Koc University"
"450","401¡V500","Kyushu University"
"451","401¡V500","Linkoping University"
"452","401¡V500","L¡¦institut Agro"
"453","401¡V500","Liverpool John Moores University"
"454","401¡V500","Makerere University"
"455","401¡V500","Mansoura University"
"456","401¡V500","Maynooth University"
"457","401¡V500","Middlesex University"
"458","401¡V500","Missouri University of Science and Technology"
"459","401¡V500","Mizzou - University of Missouri"
"460","401¡V500","University of Modena and Reggio Emilia"
"461","401¡V500","University of Naples Federico II"
"462","401¡V500","National and Kapodistrian University of Athens"
"463","401¡V500","National Research Nuclear University MEPhI"
"464","401¡V500","National Yang-Ming University"
"465","401¡V500","University of Nebraska-Lincoln"
"466","401¡V500","University of Neuchatel"
"467","401¡V500","Norwegian University of Science and Technology"
"468","401¡V500","Oklahoma State University"
"469","401¡V500","Oregon State University"
"470","401¡V500","University of Pavia"
"471","401¡V500","University of Peradeniya"
"472","401¡V500","University of the Philippines"
"473","401¡V500","University of Pisa"
"474","401¡V500","University of Plymouth"
"475","401¡V500","Polytechnic University of Bari"
"476","401¡V500","Pontifical Javeriana University"
"477","401¡V500","University of Porto"
"478","401¡V500","University of Rome II ¡V Tor Vergata"
"479","401¡V500","Royal Veterinary College"
"480","401¡V500","University of St Gallen"
"481","401¡V500","Saint-Petersburg Mining University"
"482","401¡V500","University of Salerno"
"483","401¡V500","University of Sannio"
"484","401¡V500","University of Saskatchewan"
"485","401¡V500","Semmelweis University"
"486","401¡V500","Sharif University of Technology"
"487","401¡V500","Shenzhen University"
"488","401¡V500","University of Siena"
"489","401¡V500","University of South Carolina-Columbia"
"490","401¡V500","South China University of Technology"
"491","401¡V500","SRUC (Scotland¡¦s Rural College)"
"492","401¡V500","University of Strathclyde"
"493","401¡V500","Technion Israel Institute of Technology"
"494","401¡V500","Tianjin University"
"495","401¡V500","Tokyo Medical and Dental University (TMDU)"
"496","401¡V500","Tongji University"
"497","401¡V500","University of Tsukuba"
"498","401¡V500","TU Dortmund University"
"499","401¡V500","The University of Tulsa"
"500","401¡V500","University of Turin"
"501","401¡V500","TU Wien"
"502","401¡V500","University of Valencia"
"503","401¡V500","Verona University"
"504","401¡V500","University of the West of England"
"505","401¡V500","Xi¡¦an Jiaotong University"
"506","401¡V500","York University"
"507","501¡V600","Abdul Wali Khan University Mardan"
"508","501¡V600","Amirkabir University of Technology"
"509","501¡V600","University of L¡¦Aquila"
"510","501¡V600","Universidad Autonoma de Chile"
"511","501¡V600","Bar-Ilan University"
"512","501¡V600","Beihang University"
"513","501¡V600","Beijing University of Chemical Technology"
"514","501¡V600","Beijing Institute of Technology"
"515","501¡V600","Bond University"
"516","501¡V600","Carleton University"
"517","501¡V600","University of Catania"
"518","501¡V600","CentraleSupelec"
"519","501¡V600","Charles Darwin University"
"520","501¡V600","Claude Bernard University Lyon 1"
"521","501¡V600","Complutense University of Madrid"
"522","501¡V600","University of Costa Rica"
"523","501¡V600","University of Cote d¡¦Azur"
"524","501¡V600","University of Cyprus"
"525","501¡V600","Dublin City University"
"526","501¡V600","University of Electronic Science and Technology of China"
"527","501¡V600","Ferhat Abbas Setif University 1"
"528","501¡V600","University of Ferrara"
"529","501¡V600","Fujita Health University"
"530","501¡V600","Graz University of Technology"
"531","501¡V600","University of Guelph"
"532","501¡V600","Gwangju Institute of Science and Technology"
"533","501¡V600","Hacettepe University"
"534","501¡V600","Hofstra University"
"535","501¡V600","Hokkaido University"
"536","501¡V600","University of Houston"
"537","501¡V600","University of Hull"
"538","501¡V600","University of Insubria"
"539","501¡V600","Iran University of Medical Sciences"
"540","501¡V600","Iran University of Science and Technology"
"541","501¡V600","ITMO University"
"542","501¡V600","Jagiellonian University"
"543","501¡V600","University of Kashan"
"544","501¡V600","Keele University"
"545","501¡V600","King Fahd University of Petroleum and Minerals"
"546","501¡V600","King Khalid University"
"547","501¡V600","Lagos State University"
"548","501¡V600","Leibniz University Hannover"
"549","501¡V600","University of Limerick"
"550","501¡V600","University of Lincoln"
"551","501¡V600","University of Lisbon"
"552","501¡V600","Louisiana State University"
"553","501¡V600","Lviv Polytechnic National University"
"554","501¡V600","Mashhad University of Medical Sciences"
"555","501¡V600","Memorial University of Newfoundland"
"556","501¡V600","University of Messina"
"557","501¡V600","University of Montana"
"558","501¡V600","Murdoch University"
"559","501¡V600","National Cheng Kung University (NCKU)"
"560","501¡V600","National Chiao Tung University"
"561","501¡V600","National Taiwan University of Science and Technology (Taiwan Tech)"
"562","501¡V600","University of Nebraska Medical Center"
"563","501¡V600","New Jersey Institute of Technology"
"564","501¡V600","Northern Arizona University"
"565","501¡V600","North-West University"
"566","501¡V600","Northwestern Polytechnical University"
"567","501¡V600","Universidad Peruana Cayetano Heredia"
"568","501¡V600","Polytechnic University of Turin"
"569","501¡V600","Pontificia Universidad Catolica de Chile"
"570","501¡V600","University of Portsmouth"
"571","501¡V600","Quaid-i-Azam University"
"572","501¡V600","Renmin University of China"
"573","501¡V600","Rensselaer Polytechnic Institute"
"574","501¡V600","Sabanc<U+0131> University"
"575","501¡V600","University of Sassari"
"576","501¡V600","Sciences Po"
"577","501¡V600","SOAS University of London"
"578","501¡V600","Soochow University"
"579","501¡V600","Southeast University"
"580","501¡V600","University of Southern Queensland"
"581","501¡V600","Southwestern University of Finance and Economics"
"582","501¡V600","Stevens Institute of Technology"
"583","501¡V600","University of Strasbourg"
"584","501¡V600","Suez Canal University"
"585","501¡V600","Sumy State University"
"586","501¡V600","SUNY Binghamton University"
"587","501¡V600","University of Tehran"
"588","501¡V600","Tehran University of Medical Sciences"
"589","501¡V600","Teikyo University"
"590","501¡V600","Telecom SudParis"
"591","501¡V600","The University of Texas at San Antonio"
"592","501¡V600","Tomsk State University"
"593","501¡V600","University of Trieste"
"594","501¡V600","Universiti Tunku Abdul Rahman (UTAR)"
"595","501¡V600","University of Tuscia"
"596","501¡V600","University of Urbino Carlo Bo"
"597","501¡V600","Victoria University of Wellington"
"598","501¡V600","University of Waikato"
"599","501¡V600","The University of the West Indies"
"600","501¡V600","University of the West of Scotland"
"601","501¡V600","Xiamen University"
"602","501¡V600","Zhejiang Normal University"
"603","601¡V800","Abo Akademi University"
"604","601¡V800","The University of Aizu"
"605","601¡V800","Ajou University"
"606","601¡V800","The University of Alabama"
"607","601¡V800","University of Alabama in Huntsville"
"608","601¡V800","Al-Balqa Applied University"
"609","601¡V800","Amedeo Avogadro University of Eastern Piedmont"
"610","601¡V800","University of Antofagasta"
"611","601¡V800","Aristotle University of Thessaloniki"
"612","601¡V800","University of Arkansas"
"613","601¡V800","Athens University of Economics and Business"
"614","601¡V800","Auburn University"
"615","601¡V800","University of Aveiro"
"616","601¡V800","University of the Balearic Islands"
"617","601¡V800","Banaras Hindu University"
"618","601¡V800","University of Beira Interior"
"619","601¡V800","University of Belgrade"
"620","601¡V800","University of Bergamo"
"621","601¡V800","Bilkent University"
"622","601¡V800","Birmingham City University"
"623","601¡V800","Bo<U+011F>azici University"
"624","601¡V800","Universite Bourgogne Franche-Comte (UBFC)"
"625","601¡V800","University of Bradford"
"626","601¡V800","University of Brighton"
"627","601¡V800","Bucharest University of Economic Studies"
"628","601¡V800","Ca¡¦ Foscari University of Venice"
"629","601¡V800","Cairo University"
"630","601¡V800","University of Calabria"
"631","601¡V800","University of Central Florida"
"632","601¡V800","Chapman University"
"633","601¡V800","Institute of Chemical Technology"
"634","601¡V800","China Agricultural University"
"635","601¡V800","China University of Petroleum, Beijing"
"636","601¡V800","Chongqing University"
"637","601¡V800","Chulalongkorn University"
"638","601¡V800","Chung-Ang University"
"639","601¡V800","Clemson University"
"640","601¡V800","University of Clermont Auvergne"
"641","601¡V800","University of Coimbra"
"642","601¡V800","COMSATS University Islamabad"
"643","601¡V800","Concordia University"
"644","601¡V800","Coventry University"
"645","601¡V800","Creighton University"
"646","601¡V800","Dalian University of Technology"
"647","601¡V800","University of Delhi"
"648","601¡V800","De Montfort University"
"649","601¡V800","University of Deusto"
"650","601¡V800","Ecole des Mines de Saint-Etienne"
"651","601¡V800","Ecole normale superieure Paris-Saclay"
"652","601¡V800","Edinburgh Napier University"
"653","601¡V800","Eotvos Lorand University"
"654","601¡V800","European University of Madrid"
"655","601¡V800","Ewha Womans University"
"656","601¡V800","Federal University of Minas Gerais"
"657","601¡V800","Universidade Federal do Rio Grande do Sul"
"658","601¡V800","Universidade Federal de Santa Catarina"
"659","601¡V800","Universidade Federal de Sao Paulo (UNIFESP)"
"660","601¡V800","Universidade Federal de Sergipe"
"661","601¡V800","Gabriele d¡¥Annunzio University"
"662","601¡V800","University of Girona"
"663","601¡V800","Glasgow Caledonian University"
"664","601¡V800","University of Granada"
"665","601¡V800","University of Graz"
"666","601¡V800","University of Greenwich"
"667","601¡V800","Guangdong University of Technology"
"668","601¡V800","University of Haifa"
"669","601¡V800","Hamburg University of Technology"
"670","601¡V800","Huazhong Agricultural University"
"671","601¡V800","University of Huddersfield"
"672","601¡V800","University of Idaho"
"673","601¡V800","Reichman University"
"674","601¡V800","Indian Institute of Science Education and Research, Pune"
"675","601¡V800","Indian Institute of Science Education and Research Kolkata"
"676","601¡V800","Indian Institute of Technology Gandhinagar"
"677","601¡V800","Indian Institute of Technology Hyderabad"
"678","601¡V800","Indraprastha Institute of Information Technology Delhi"
"679","601¡V800","Universitat Internacional de Catalunya"
"680","601¡V800","University of International Business and Economics"
"681","601¡V800","University of Ioannina"
"682","601¡V800","ISCTE-University Institute of Lisbon"
"683","601¡V800","Isfahan University of Technology"
"684","601¡V800","Jamia Millia Islamia"
"685","601¡V800","Jaume I University"
"686","601¡V800","Jawaharlal Nehru University"
"687","601¡V800","Jiangsu Normal University"
"688","601¡V800","Jikei University School of Medicine"
"689","601¡V800","Jinan University"
"690","601¡V800","University of Johannesburg"
"691","601¡V800","Johannes Kepler University of Linz"
"692","601¡V800","Kafrelsheikh University"
"693","601¡V800","University of Kaiserslautern"
"694","601¡V800","Kansai Medical University"
"695","601¡V800","Kansas State University"
"696","601¡V800","Kazan Federal University"
"697","601¡V800","Universiti Kebangsaan Malaysia"
"698","601¡V800","Keio University"
"699","601¡V800","King George¡¦s Medical University"
"700","601¡V800","Kobe University"
"701","601¡V800","Konkuk University"
"702","601¡V800","University of Kurdistan"
"703","601¡V800","University of Lagos"
"704","601¡V800","Lakehead University"
"705","601¡V800","University of La Laguna"
"706","601¡V800","University of Latvia"
"707","601¡V800","Lehigh University"
"708","601¡V800","University of Lille"
"709","601¡V800","Lincoln University"
"710","601¡V800","University of Lleida"
"711","601¡V800","University of Lorraine"
"712","601¡V800","Mae Fah Luang University"
"713","601¡V800","Mahatma Gandhi University"
"714","601¡V800","Mahidol University"
"715","601¡V800","University of Malta"
"716","601¡V800","Manchester Metropolitan University"
"717","601¡V800","Marche Polytechnic University"
"718","601¡V800","University of Maryland, Baltimore County"
"719","601¡V800","Masaryk University"
"720","601¡V800","Massey University"
"721","601¡V800","Metropolitan Autonomous University"
"722","601¡V800","Miguel Hernandez University of Elche"
"723","601¡V800","University of Missouri-St Louis"
"724","601¡V800","University of Mohaghegh Ardabili"
"725","601¡V800","Montana State University"
"726","601¡V800","Monterrey Institute of Technology"
"727","601¡V800","University of Nairobi"
"728","601¡V800","Nanjing Agricultural University"
"729","601¡V800","Nanjing University of Information Science and Technology"
"730","601¡V800","Nanjing Medical University"
"731","601¡V800","Nanjing Tech University"
"732","601¡V800","University of Nantes"
"733","601¡V800","National Institute of Applied Sciences of Lyon (INSA Lyon)"
"734","601¡V800","National University of Science and Technology (MISiS)"
"735","601¡V800","National Taiwan Normal University"
"736","601¡V800","National Technical University of Athens"
"737","601¡V800","University of Nevada, Las Vegas"
"738","601¡V800","New Mexico State University (Main campus)"
"739","601¡V800","Nippon Medical School"
"740","601¡V800","University of North Carolina at Greensboro"
"741","601¡V800","Norwegian University of Life Sciences"
"742","601¡V800","Nottingham Trent University"
"743","601¡V800","Novosibirsk State University"
