"","a","b"
"1","1","University of Oxford"
"2","2","Stanford University"
"3","3","Harvard University"
"4","4","California Institute of Technology"
"5","5","Massachusetts Institute of Technology"
"6","6","University of Cambridge"
"7","7","University of California, Berkeley"
"8","8","Yale University"
"9","9","Princeton University"
"10","10","The University of Chicago"
"11","11","Imperial College London"
"12","12","Johns Hopkins University"
"13","13","University of Pennsylvania"
"14","14","ETH Zurich"
"15","15","University of California, Los Angeles"
"16","16","UCL"
"17","17","Columbia University"
"18","18","University of Toronto"
"19","19","Cornell University"
"20","=20","Duke University"
"21","=20","Tsinghua University"
"22","22","University of Michigan-Ann Arbor"
"23","23","Peking University"
"24","24","Northwestern University"
"25","25","National University of Singapore"
"26","26","New York University"
"27","27","London School of Economics and Political Science"
"28","28","Carnegie Mellon University"
"29","29","University of Washington"
"30","30","University of Edinburgh"
"31","31","University of Melbourne"
"32","32","LMU Munich"
"33","33","University of California, San Diego"
"34","34","University of British Columbia"
"35","35","King¡¦s College London"
"36","=36","Karolinska Institute"
"37","=36","The University of Tokyo"
"38","38","Georgia Institute of Technology"
"39","39","University of Hong Kong"
"40","40","McGill University"
"41","41","Technical University of Munich"
"42","42","Heidelberg University"
"43","43","Ecole Polytechnique Federale de Lausanne"
"44","44","University of Texas at Austin"
"45","45","KU Leuven"
"46","46","Paris Sciences et Lettres ¡V PSL Research University Paris"
"47","47","Nanyang Technological University, Singapore"
"48","48","University of Illinois at Urbana-Champaign"
"49","49","University of Wisconsin-Madison"
"50","50","Washington University in St Louis"
"51","=51","University of Manchester"
"52","=51","University of Sydney"
"53","53","University of Southern California"
"54","=54","Boston University"
"55","=54","Kyoto University"
"56","=56","Chinese University of Hong Kong"
"57","=56","The Hong Kong University of Science and Technology"
"58","=56","University of North Carolina at Chapel Hill"
"59","59","Australian National University"
"60","60","Seoul National University"
"61","61","Brown University"
"62","=62","The University of Queensland"
"63","=62","Wageningen University & Research"
"64","=64","University of California, Davis"
"65","=64","Monash University"
"66","66","University of Amsterdam"
"67","67","UNSW Sydney"
"68","68","University of California, Santa Barbara"
"69","69","McMaster University"
"70","=70","Fudan University"
"71","=70","Leiden University"
"72","72","Erasmus University Rotterdam"
"73","=73","University of Montreal"
"74","=73","University of Zurich"
"75","=75","Charite - Universitatsmedizin Berlin"
"76","=75","Utrecht University"
"77","77","University of Warwick"
"78","=78","Delft University of Technology"
"79","=78","University of Tubingen"
"80","=80","University of Groningen"
"81","=80","Humboldt University of Berlin"
"82","=80","Ohio State University (Main campus)"
"83","83","University of Freiburg"
"84","84","University of Copenhagen"
"85","=85","Emory University"
"86","=85","University of Minnesota"
"87","=87","Ecole Polytechnique"
"88","=87","University of Science and Technology of China"
"89","=87","Sorbonne University"
"90","90","University of Maryland, College Park"
"91","91","University of Bristol"
"92","=92","University of Basel"
"93","=92","University of Glasgow"
"94","=94","Purdue University West Lafayette"
"95","=94","Zhejiang University"
"96","96","Korea Advanced Institute of Science and Technology (KAIST)"
"97","97","National Taiwan University (NTU)"
"98","=98","University of California, Irvine"
"99","=98","University of Helsinki"
"100","100","Shanghai Jiao Tong University"
"101","=101","Dartmouth College"
"102","=101","Sungkyunkwan University (SKKU)"
"103","=103","Ghent University"
"104","=103","Lund University"
"105","105","Michigan State University"
"106","106","Aarhus University"
"107","=107","University of Birmingham"
"108","=107","RWTH Aachen University"
"109","109","University of Bern"
"110","110","Queen Mary University of London"
"111","=111","Nanjing University"
"112","=111","Uppsala University"
"113","=111","Vanderbilt University"
"114","=114","University of Bonn"
"115","=114","Penn State (Main campus)"
"116","116","Vrije Universiteit Amsterdam"
"117","117","University of Virginia (Main campus)"
"118","=118","University of Adelaide"
"119","=118","Free University of Berlin"
"120","120","Georgetown University"
"121","=121","Case Western Reserve University"
"122","=121","Maastricht University"
"123","=121","University of Sheffield"
"124","=124","University of Arizona"
"125","=124","Rice University"
"126","126","City University of Hong Kong"
"127","=127","University of Oslo"
"128","=127","University of Southampton"
"129","129","Hong Kong Polytechnic University"
"130","130","University of Gottingen"
"131","=131","University of Alberta"
"132","=131","University of Colorado Boulder"
"133","=133","University of Pittsburgh-Pittsburgh campus"
"134","=133","University of York"
"135","135","University of Hamburg"
"136","=136","Lancaster University"
"137","=136","Universite de Paris"
"138","=136","Radboud University Nijmegen"
"139","139","The University of Western Australia"
"140","=140","Indiana University"
"141","=140","University of Mannheim"
"142","=140","Technical University of Berlin"
"143","=140","Ulm University"
"144","=140","University of Wurzburg"
